id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
57167,Orchestra,2026,2026.0,2,4.0,120,14,70,0,9,173,87,14,0,9.15,27,1
23733,Onde foi parar meu osso?,2022,2022.0,2,5.0,20,8,45,3,12,22,31,3,1,9.14,28,1
53447,Carcassonne Big Box 7,2021,2024.0,2,6.0,35,7,190,11,21,156,140,3,0,9.13,58,1
41866,Slay the Spire: O Jogo de Tabuleiro,2024,2024.0,1,4.0,150,12,1067,101,186,1760,1204,6,2,9.13,504,1
13494,Brass: Birmingham,2018,2019.0,2,4.0,120,14,2734,386,585,3515,3652,7,0,9.12,1641,0
13196,Brass: Lancashire,2017,2019.0,2,4.0,180,13,1099,290,246,1160,1642,7,0,9.12,745,1
27167,ISS Vanguard,2022,2024.0,1,4.0,120,13,498,43,48,662,301,4,1,9.12,125,1
71120,Unmatched: The Witcher - A Queda dos Reinos,2024,2026.0,2,3.0,40,9,161,5,5,151,87,3,2,9.11,32,1
33119,Hegemonia: Conduza Sua Classe À Vitória - Edição Ampliada,2023,2026.0,2,4.0,180,14,762,121,162,1744,1344,7,1,9.11,459,1
37857,Dune: Guerra por Arrakis,2024,2024.0,1,4.0,120,14,544,49,47,619,307,8,2,9.11,119,1
23628,Trickerion: Lendas Da Ilusão – Big Box,2019,2024.0,1,4.0,180,14,501,86,66,530,742,9,0,9.11,231,1
13749,Projeto Gaia,2017,2018.0,1,4.0,150,14,2313,417,555,2951,3047,11,2,9.1,1572,0
80347,Stupor Mundi - Deluxe Master Print,2025,2025.0,1,4.0,150,12,63,3,4,41,102,5,1,9.1,22,1
48200,Unmatched Aventuras: Contos Fantásticos,2023,2026.0,1,4.0,60,9,330,12,24,278,260,8,0,9.09,91,1
25048,Gloomhaven: Presas do Leão,2020,2022.0,1,4.0,120,14,2161,392,267,1477,1361,18,3,9.09,776,1
77025,DC Super Heroes United: Hush,2025,2026.0,1,4.0,30,14,101,2,5,63,49,4,3,9.09,23,1
8624,Gloomhaven,2017,2020.0,1,4.0,120,12,2438,402,615,3018,1853,27,2,9.09,1336,0
38684,Imperium: Horizontes,2024,2025.0,1,4.0,120,14,194,5,20,263,95,7,1,9.09,40,1
17559,Mage Knight: Edição Definitiva,2018,2019.0,1,5.0,150,14,1472,255,337,1874,1071,11,1,9.09,692,1
76427,Nippon: Zaibatsu,2026,2026.0,1,4.0,120,14,221,2,15,360,326,8,0,9.08,77,1
33907,Black Rose Wars: Rebirth ,2023,2025.0,1,4.0,90,14,56,9,13,232,69,6,0,9.07,27,1
37012,Clank!: Catacombs,2022,2025.0,2,4.0,90,14,1823,89,229,1626,2300,12,2,9.07,650,1
32873,La Granja: Deluxe Master Set,2023,2023.0,1,4.0,120,14,624,82,81,646,881,13,1,9.07,300,1
14910,Twilight Imperium (4ª Edição),2017,2019.0,3,6.0,480,14,1139,223,359,1847,1706,17,2,9.07,775,0
71121,Unmatched: The Witcher - Aço e Prata,2024,2026.0,2,3.0,40,9,176,2,8,182,116,3,2,9.07,34,1
32507,Ark Nova,2021,2023.0,1,4.0,120,14,2289,200,462,2168,3250,4,0,9.07,1205,0
31174,Great Western Trail: Nova Zelândia,2023,2024.0,1,4.0,150,12,1017,90,93,520,1161,9,0,9.06,385,1
41032,Magos de Araque,2025,2024.0,2,10.0,20,12,78,6,3,44,94,3,3,9.06,44,1
35575,Agricola 15: Edição de Aniversário ,2022,2023.0,1,4.0,120,12,849,69,90,523,686,12,0,9.05,266,1
77014,Eternal Decks,2025,2026.0,1,4.0,40,10,87,5,12,535,163,7,2,9.05,37,1
24301,Clash of Cultures: Monumental,2021,2021.0,2,4.0,240,14,1042,149,153,877,1278,7,2,9.05,530,1
29995,Terra do Sol,2026,2026.0,2,4.0,120,14,66,1,12,473,100,10,2,9.05,36,1
13203,HiFi,2025,2026.0,2,4.0,60,14,17,0,7,265,77,4,1,9.05,27,1
9330,Star Wars: Rebellion,2016,2018.0,2,4.0,240,14,1921,393,381,2141,1513,18,3,9.04,1024,0
433,Guerra do Anel (Segunda Edição),2012,2024.0,2,4.0,150,12,1565,339,292,1752,995,11,4,9.03,690,1
30881,Robinson Crusoe: Edição de Colecionador,2022,2024.0,1,4.0,120,14,476,40,44,527,289,5,0,9.03,123,1
23123,Kanban EV,2020,2022.0,1,4.0,180,14,254,32,38,506,340,4,0,9.03,127,1
50763,Jogando com Lovecraft,2023,2023.0,1,6.0,15,6,87,3,64,105,91,2,1,9.03,91,1
65868,O Senhor dos Anéis: Duelo pela Terra Média,2024,2024.0,2,2.0,45,10,3010,106,276,1268,2305,5,1,9.02,967,1
34906,Marvel Zombies: X-Men Resistance,2023,2024.0,1,6.0,60,14,500,27,51,339,264,5,1,9.02,135,1
40533,Unmatched: Houdini vs. O Gênio,2022,2025.0,2,2.0,20,9,327,11,13,141,225,6,2,9.02,82,1
53972,Galactic Cruise,2025,2025.0,1,4.0,150,14,327,15,45,605,674,16,0,8.99,176,1
29783,Great Western Trail: Segunda Edição,2021,2022.0,1,4.0,150,12,1398,239,234,1503,1877,7,0,8.99,833,1
71072,Vomitolândia,2026,2026.0,3,6.0,40,10,75,3,11,66,77,2,1,8.99,35,1
8858,Terraforming Mars,2016,2017.0,1,5.0,120,12,6716,866,1692,3963,7787,17,0,8.99,4027,0
70341,Sweet Lands,2025,2027.0,1,4.0,200,14,36,5,9,424,74,1,0,8.98,17,1
41811,Teotihuacan: City of Gods – Deluxe Master Set,2024,2024.0,1,4.0,120,14,58,13,7,86,109,9,1,8.97,18,1
35527,Unmatched: Battle of Legends - Volume 2,2022,2025.0,2,4.0,40,9,465,21,27,264,420,3,4,8.96,132,1
53658,REF! O Jogo das Referências,2024,2024.0,2,10.0,25,8,42,7,11,21,44,7,3,8.96,24,1
22012,Clank!: Legacy – Acquisitions Incorporated,2019,2026.0,2,4.0,100,13,139,21,27,401,194,18,0,8.95,64,1
52085,Hierarquia - Egito,2026,2026.0,3,10.0,30,10,23,0,9,63,38,6,3,8.95,31,1
68203,Shackleton Base: Uma Jornada para a Lua,2024,2026.0,1,4.0,120,14,586,16,42,453,829,2,0,8.95,209,1
28900,Ultimate Railroads,2021,2022.0,1,4.0,120,12,447,69,68,711,754,4,0,8.95,269,1
20444,Tainted Grail: A Queda de Avalon,2019,2021.0,1,4.0,120,14,815,197,129,1034,485,13,2,8.95,308,1
69574,Dobble: Turma da Mônica,2025,2025.0,2,8.0,15,6,60,1,1,29,42,2,1,8.94,16,1
63306,Harmonies,2024,2024.0,1,4.0,30,10,4991,152,572,2148,5651,6,1,8.94,2006,0
33148,O Senhor dos Anéis: Card Game (Revised Core Set),2022,2022.0,1,4.0,60,13,956,152,166,805,587,9,3,8.94,343,1
39886,Dungeon Fighter: No Castelo da Friaca Fatídica,2022,2022.0,1,4.0,60,8,57,5,4,113,41,3,2,8.93,19,1
80826,Orloj: The Prague Astronomical Clock,2025,2026.0,1,4.0,120,14,252,4,12,356,321,7,0,8.93,82,1
62977,Unmatched: Origem do Sol,2024,2026.0,2,2.0,40,9,247,11,6,103,128,6,1,8.93,50,1
56124,Nucleum,2023,2023.0,1,4.0,150,14,680,82,85,610,1091,11,0,8.93,324,1
23952,Rococo: Deluxe Edition,2020,2020.0,1,5.0,120,14,404,67,40,530,745,4,0,8.93,212,1
61700,Wyrmspan,2024,2024.0,1,5.0,90,14,1554,97,171,1450,2167,7,1,8.93,625,1
66494,Feljong,2024,2024.0,4,4.0,90,10,188,16,5,60,84,4,2,8.93,35,1
21032,Sleeping Gods,2021,2023.0,1,4.0,120,13,736,122,74,1439,467,6,1,8.93,205,1
41546,Andromeda's Edge,2024,2025.0,2,4.0,200,14,441,34,51,484,595,5,2,8.92,180,1
25920,Roda de Samba,2025,2025.0,2,4.0,40,8,48,1,5,51,56,4,2,8.92,20,1
20829,O Senhor dos Anéis: Jornadas na Terra Média,2019,2019.0,1,5.0,60,14,3277,524,607,2506,2355,10,3,8.92,1407,0
187,The Castles of Burgundy,2011,2017.0,2,4.0,90,12,3369,828,658,2780,4786,11,1,8.91,2325,0
17363,Eclipse: O Segundo Despertar da Galáxia,2020,2022.0,2,6.0,200,14,706,88,129,952,1181,17,2,8.91,403,1
10959,Spirit Island,2017,2019.0,1,4.0,120,12,2147,441,382,2251,2218,12,0,8.91,1119,0
36830,Tiranos da Umbreterna (Segunda Edição),2021,2024.0,2,4.0,90,14,1178,61,118,622,1440,2,1,8.9,458,1
11478,Lisboa,2017,2017.0,1,4.0,120,12,1452,350,279,1756,1801,5,0,8.9,881,1
29022,Ticket to Ride: Europa - 15 Anos,2021,2021.0,2,5.0,60,8,823,78,105,573,873,8,1,8.9,380,1
71312,Athos Bulcão | Master Pieces,2026,2026.0,1,6.0,60,10,102,4,3,95,206,5,2,8.9,54,1
25957,The Thing: The Boardgame,2022,2022.0,1,8.0,90,14,545,124,121,1361,1131,9,1,8.89,349,1
13588,Clãs da Caledônia,2017,2017.0,1,4.0,120,12,1659,485,360,2210,2772,8,0,8.89,1339,0
32874,Dark Ages: Heritage of Charlemagne,2021,2023.0,1,4.0,180,14,71,15,13,198,130,10,2,8.89,43,1
69099,Guardian Super Force,2024,2024.0,1,4.0,10,5,61,3,6,25,41,7,2,8.88,25,1
46714,Inventores do Sul do Tigre,2024,2025.0,1,4.0,120,12,142,7,5,157,114,7,1,8.88,45,1
34903,O Legado de Yu,2023,2023.0,1,1.0,60,12,332,91,27,359,233,4,0,8.88,143,1
32088,Arkham Horror: The Card Game (Revised Edition),2021,2021.0,1,4.0,120,14,1956,248,265,1193,1292,16,3,8.88,668,1
63733,Carnegie - Edição Deluxe,2022,2022.0,1,4.0,150,14,58,12,3,49,139,13,0,8.87,31,1
82928,Gatos e Masmorras,2026,2026.0,2,6.0,20,8,111,0,7,92,72,14,4,8.87,23,1
15950,Root,2018,2019.0,2,4.0,90,13,3953,680,853,4083,4769,11,2,8.87,2171,0
8285,7 Wonders Duel,2015,2017.0,2,2.0,30,10,8754,948,1142,2591,7110,16,1,8.87,4383,0
31173,Great Western Trail: Argentina,2022,2023.0,1,4.0,150,12,1178,138,83,413,1095,7,0,8.86,422,1
30978,O Inconsciente,2024,2024.0,1,4.0,120,12,635,58,82,1152,1040,12,1,8.86,290,1
37434,Wingspan: Ásia,2022,2023.0,1,2.0,70,14,1515,110,56,652,1290,3,2,8.86,385,1
16788,Everdell,2018,2021.0,1,4.0,80,13,4310,503,677,3622,5059,10,0,8.77,2138,0
35743,Engis,2023,2023.0,1,4.0,75,10,132,17,7,89,122,4,1,8.77,60,1
