cluster,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,n
0,2013.07,2017.66,1.71,4.56,96.23,11.9,3619.37,586.78,538.03,2242.21,4292.27,9.47,0.99,8.62,2125.95,73
1,2017.87,2022.89,1.58,4.73,78.08,11.74,579.93,80.82,53.6,475.55,678.89,6.31,1.14,8.6,257.72,607
