var1,var2,pearson_r,pearson_p,spearman_r,spearman_p
qt_jogou,qt_avaliacoes,0.9766843799269702,0.0,0.9744888637741078,0.0
qt_tem,qt_avaliacoes,0.9698581812570982,0.0,0.9623460024567841,0.0
qt_tem,qt_jogou,0.9630725433760272,0.0,0.9524187904611603,0.0
qt_favorito,qt_avaliacoes,0.9358542282615634,2.481183506367807e-309,0.9376023455903809,0.0
qt_teve,qt_avaliacoes,0.9111755701899644,2.753113728778704e-263,0.9290276141800926,5.84892649953428e-295
qt_favorito,qt_jogou,0.8996487280402271,3.299497172108324e-246,0.8886983360350421,8.325747993732278e-232
qt_tem,qt_favorito,0.8978105466323879,1.1199657337728971e-243,0.9080244583632385,2.1419756317796273e-258
qt_favorito,qt_quer,0.8912442032247861,5.138204753470546e-235,0.9052773412108236,2.837519386400124e-254
qt_teve,qt_favorito,0.8693873492911997,9.371425357854638e-210,0.8636157548380635,7.68250707014599e-204
qt_quer,qt_jogou,0.859661381833638,6.064075739281633e-200,0.8934042155085947,8.400750860554289e-238
qt_teve,qt_jogou,0.8535534212302036,3.747030253458794e-194,0.8795410842510725,7.074476022832628e-221
qt_quer,qt_avaliacoes,0.8448617988804558,2.3687625054152535e-186,0.8935169825843866,5.986870631238325e-238
qt_tem,qt_teve,0.8397645285704919,5.3620062809739054e-182,0.8939342684286171,1.7035584290715626e-238
qt_teve,qt_quer,0.8121090189205777,9.011942817724109e-161,0.8279673243116509,1.7671224394869035e-172
qt_tem,qt_quer,0.8119115887153536,1.2402282275652585e-160,0.8810736521400675,1.2128447467641706e-222
ano_nacional,qt_teve,-0.7501632494939936,6.601455587625451e-124,-0.7811924594456687,7.329798261657119e-141
ano_nacional,qt_avaliacoes,-0.6244307029681951,8.6562130908244e-75,-0.6363866164090047,1.7609609868655875e-78
ano_nacional,qt_jogou,-0.5675778546039201,3.0638307390272887e-59,-0.5436241124574498,1.497393249669602e-53
ano_nacional,qt_favorito,-0.5569551272608377,1.164951755867585e-56,-0.599936545290176,1.0458202939681107e-67
ano_nacional,qt_tem,-0.5489209013240789,9.052443609810807e-55,-0.5664553914581275,5.798630998806118e-59
ano_nacional,qt_quer,-0.526045705468049,1.1682755755824568e-49,-0.47956215681490916,2.1252673251280386e-40
vl_tempo_jogo,idade_minima,0.4628657507364956,2.0931430350587794e-37,0.4667027720968063,4.4405667886938207e-38
vl_tempo_jogo,n_mecanicas,0.38004731108277456,8.634325995084753e-25,0.4268126457696715,1.7621779313520364e-31
qt_quer,n_mecanicas,0.3484421552787298,7.633886170406367e-21,0.3501141558327836,4.8402027382777294e-21
qt_favorito,n_mecanicas,0.3086026111477814,1.8048304280837706e-16,0.31428002687868684,4.7007781738257135e-17
qt_teve,n_mecanicas,0.30571465741339404,3.538406346307626e-16,0.302504715308488,7.412839752438925e-16
ano_nacional,nota_media,0.2855647045284424,3.1609092937711647e-14,0.26257587777125563,3.4765003646831718e-12
vl_tempo_jogo,n_categorias,-0.27951095414721683,1.1379745275982745e-13,-0.3638714080647157,1.0257600891444231e-22
qt_jogadores_min,vl_tempo_jogo,-0.2517465784011076,2.7340319088217306e-11,-0.34268410364586965,3.59056472204391e-20
n_mecanicas,qt_avaliacoes,0.2317095336769356,9.68395623443179e-10,0.2672911363027053,1.3743615001981579e-12
vl_tempo_jogo,qt_quer,0.21789665717074483,9.427847816220743e-09,0.3256801864791106,2.8869320802113543e-18
qt_tem,n_mecanicas,0.20651775036443332,5.5073190271670234e-08,0.24612756651168224,7.67844319933913e-11
qt_jogou,n_mecanicas,0.20149667383610118,1.1633088453698454e-07,0.25502558992635266,1.4790544638343985e-11
qt_jogadores_min,idade_minima,-0.1992807590813963,1.6084776656404378e-07,-0.2505123665602266,3.4376002562544636e-11
idade_minima,n_mecanicas,0.19598427332874824,2.587159744813774e-07,0.1952926937145323,2.855502115296274e-07
vl_tempo_jogo,nota_media,0.1901865892551381,5.85303457602515e-07,0.21898808940148515,7.918460610983742e-09
ano_nacional,n_mecanicas,-0.18222304155816738,1.7256394335260244e-06,-0.17698172797702494,3.428371652816492e-06
ano_nacional,qt_jogadores_min,-0.17831110874117068,2.885925935440155e-06,-0.16444990935279902,1.633914743426609e-05
vl_tempo_jogo,qt_teve,0.1476869429323501,0.00011093715284745512,0.2677075229850508,1.2651026892526978e-12
qt_teve,nota_media,-0.13801063601484437,0.00030673790784725317,-0.25698717251786946,1.0198920842761606e-11
vl_tempo_jogo,qt_favorito,0.13323800728404483,0.0004947680160367734,0.2319212846844839,9.341160414931849e-10
