id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes
20829,O Senhor dos Anéis: Jornadas na Terra Média,2019,2019.0,1,5.0,60,14,3277,524,607,2506,2355,10,"Construção de Baralho, Bolsas e Peças;Cooperativo;RPG;Tabuleiro Modular;Campanha / Batalhas Dirigidas por Cartas;Solo / Solitário;Jogadores com Diferentes Habilidades;Cenário / Missão / Campanha;Resolução com Testes de Estatísticas;Mapa: Adição",3,Integrado com Aplicativo;Miniaturas;Dungeon Crawler,Aventura;Fantasia;Literatura;Cultura Pop ou Geek,https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth,0.8621415416995527,0.7647238327738786,0.18523039365273117,10,4.0,8.92,8.82,1407
187,The Castles of Burgundy,2011,2017.0,2,4.0,90,12,3369,828,658,2780,4786,11,Colecionar Conjuntos;Colocação de Peças;Rolagem de Dados;Construção a partir de Modelo;Grade Hexagonal;Bônus de Fim de Jogo;Ordem de Turno: Baseado em Estatísticas;Alocação de Trabalhadores com Dados;Preparação Variável;Cobertura de Grade;Encadeamento,1,Jogo de Dados,Medieval;Economia / Produção;História,https://ludopedia.com.br/jogo/the-castles-of-burgundy,0.8027162258756254,0.8251706737904423,0.19531018106262987,11,2.0,8.91,8.85,2325
17363,Eclipse: O Segundo Despertar da Galáxia,2020,2022.0,2,6.0,200,14,706,88,129,952,1181,17,Colocação de Peças;Influência / Maioria na Área;Eliminação de Jogadores;Jogadores com Diferentes Habilidades;Movimento em Grades;Ordem de Fases Variável;Rolagem de Dados;Tabuleiro Modular;Impulso de Área;Passar Ficha de Ação;Acertos e Falhas Críticas;Alianças;Árvores / Trilhas de Tecnologia;Grade Hexagonal;Rendimentos;Suporte sem Recompensa;Movimento de Área,2,4x;Jogo de Guerra,Ficção Científica;Guerra;Luta / Artes Marciais;Civilização,https://ludopedia.com.br/jogo/eclipse-second-dawn-for-the-galaxy,0.889168765743073,1.348441926345609,0.18271954674220964,17,4.0,8.91,8.59,403
10959,Spirit Island,2017,2019.0,1,4.0,120,12,2147,441,382,2251,2218,12,Seleção de Ação Simultânea;Gerenciamento de Mãos;Cooperativo;Jogadores com Diferentes Habilidades;Tabuleiro Modular;Crescimento Automático de Recursos;Recuperação de Ação;Influência / Maioria na Área;Campanha / Batalhas Dirigidas por Cartas;Colecionar Conjuntos;Solo / Solitário;Preparação Variável,0,,Luta / Artes Marciais;Meio Ambiente;Fantasia;Mitologia,https://ludopedia.com.br/jogo/spirit-island,0.8295981452859351,1.048439683278994,0.17792268281322776,12,3.0,8.91,8.78,1119
36830,Tiranos da Umbreterna (Segunda Edição),2021,2024.0,2,4.0,90,14,1178,61,118,622,1440,2,"Construção de Baralho, Bolsas e Peças;Influência / Maioria na Área",1,Jogo de Cartas,Cultura Pop ou Geek;Fantasia,https://ludopedia.com.br/jogo/tyrants-of-the-underdark-board-game,0.9507667473769169,0.5280135823429541,0.100169779286927,2,2.0,8.9,8.62,458
11478,Lisboa,2017,2017.0,1,4.0,120,12,1452,350,279,1756,1801,5,Gerenciamento de Mãos;Colocação de Peças;Influência / Maioria na Área;Compra Aberta;Solo / Solitário,0,,Política;Economia / Produção,https://ludopedia.com.br/jogo/lisboa,0.8057713651498335,1.209366391184573,0.1921487603305785,5,3.0,8.9,8.74,881
29022,Ticket to Ride: Europa - 15 Anos,2021,2021.0,2,5.0,60,8,823,78,105,573,873,8,Colocação de Peças;Construção de Redes e Rotas;Gerenciamento de Mãos;Colecionar Conjuntos;Compra Aberta;Conexões;Contratos;Force sua sorte,1,Jogo de Entrada,Transportes,https://ludopedia.com.br/jogo/ticket-to-ride-europe-15th-anniversary,0.9134295227524972,0.6962332928311057,0.1275820170109356,8,3.0,8.9,8.56,380
71312,Athos Bulcão | Master Pieces,2026,2026.0,1,6.0,60,10,102,4,3,95,206,5,Colecionar Conjuntos;Colocação de Peças;Construção a partir de Modelo;Contratos;Reconhecimento de Padrões,2,Estratégia Abstrata;Quebra-Cabeça,Adulto;Arte;Cultura Brasileira;Educacional;História,https://ludopedia.com.br/jogo/athos-bulcao-master-pieces,0.9622641509433962,0.9313725490196079,0.029411764705882353,5,5.0,8.9,7.51,54
25957,The Thing: The Boardgame,2022,2022.0,1,8.0,90,14,545,124,121,1361,1131,9,Jogo em Equipe;Rolagem de Dados;Votação;Alocação de Trabalhadores;Dedução;Jogadores com Diferentes Habilidades;Papéis Ocultos;Semi-Cooperativo;Traidor,1,Miniaturas,Cultura Pop ou Geek;Horror/Terror;Ficção Científica,https://ludopedia.com.br/jogo/the-thing-the-boardgame,0.8146487294469357,2.4972477064220184,0.22201834862385322,9,7.0,8.89,8.53,349
13588,Clãs da Caledônia,2017,2017.0,1,4.0,120,12,1659,485,360,2210,2772,8,Construção de Redes e Rotas;Especulação de Commodities;Jogadores com Diferentes Habilidades;Tabuleiro Modular;Contratos;Mercado;Solo / Solitário;Ordem do Turno: Ordem de Passe,0,,Economia / Produção;Animais,https://ludopedia.com.br/jogo/clans-of-caledonia,0.7737873134328358,1.3321277878239903,0.21699819168173598,8,3.0,8.89,8.79,1339
46714,Inventores do Sul do Tigre,2024,2025.0,1,4.0,120,12,142,7,5,157,114,7,"Alocação de Trabalhadores;Alocação de Trabalhadores com Dados;Construção de Baralho, Bolsas e Peças;Gerenciamento de Mãos;Influência / Maioria na Área;Movimento em Trilha;Solo / Solitário",1,Jogo de Dados,Medieval,https://ludopedia.com.br/jogo/inventors-of-the-south-tigris,0.9530201342281879,1.1056338028169015,0.035211267605633804,7,3.0,8.88,7.36,45
