var1,var2,pearson_r,pearson_p,spearman_r,spearman_p
vl_tempo_jogo,idade_minima,0.3912057029839676,1.160338158898714e-37,0.465305754928674,1.6912869954347256e-54
qt_avaliacoes,tx_conversao,0.3906994909293666,1.4644769445452484e-37,0.5298627073119099,5.769655993723371e-73
nota_media,tx_satisfacao,-0.3629113359830179,2.824184263091677e-32,-0.5613256734083508,1.6260429728396391e-83
qt_jogadores_min,tx_conversao,0.26077150270616933,6.712855362761072e-17,0.28920924762469696,1.384242937387599e-20
qt_jogadores_min,idade_minima,-0.15932229180975205,4.499944250449212e-07,-0.2131589806336036,1.147034144667243e-11
qt_jogadores_min,nota_media,-0.1580760780884526,5.542484039240358e-07,-0.18455948642529754,4.659539326068759e-09
idade_minima,tx_conversao,-0.1497946587597597,2.1251518018164377e-06,-0.15735620653496593,6.246856419310091e-07
vl_tempo_jogo,tx_satisfacao,-0.14514361070817283,4.383264066315438e-06,-0.21133490508786482,1.7283975572917837e-11
qt_jogadores_min,vl_tempo_jogo,-0.13875040658673143,1.1438567358833904e-05,-0.2295966058568128,2.4074282623546276e-13
vl_tempo_jogo,tx_conversao,-0.12096660054556833,0.00013284355996933476,-0.1005790488317562,0.0015061522798150535
nota_media,vl_tempo_jogo,0.11783509558655009,0.00019804029570266181,0.16895516905682684,8.511190216855093e-08
qt_avaliacoes,tx_satisfacao,-0.11027809943770234,0.0004989514163007664,0.054329497583599284,0.08705649988100184
qt_jogadores_min,qt_jogadores_max,0.09482948285830405,0.0027785008033462118,0.15673207509441273,6.926598244614037e-07
idade_minima,tx_satisfacao,-0.08481364097354957,0.007493181532306136,-0.19219020959110533,1.0237878031243486e-09
tx_satisfacao,tx_conversao,0.08204849841355177,0.009692525143066935,0.246399321755438,3.3672992557987468e-15
nota_media,idade_minima,0.08204158085269003,0.00969868129217363,0.15337970741672624,1.1980545019378375e-06
qt_jogadores_min,qt_avaliacoes,0.08149875399117282,0.010192744993494728,0.016661095760861448,0.6000017920791438
qt_jogadores_max,idade_minima,-0.060538567265836896,0.05651645430881804,-0.07302431745701085,0.02137412595580052
nota_media,qt_avaliacoes,-0.06006843997653488,0.058464940085231724,-0.18263179737719215,6.765451870970955e-09
qt_jogadores_min,tx_satisfacao,0.052660600459534704,0.09721730983365898,0.12368101796891418,9.324560325831412e-05
qt_jogadores_max,nota_media,-0.04694909695157182,0.13929881758931148,-0.06372186202220097,0.044695557260081516
qt_avaliacoes,idade_minima,-0.04399017636526907,0.1660100609989261,0.020201609293031934,0.5248714458598426
qt_jogadores_max,vl_tempo_jogo,-0.042250404201697817,0.18341690525220736,-0.08039514389677548,0.011266702697909026
nota_media,tx_conversao,-0.03939335761397651,0.21487275812870835,-0.19186252978934065,1.0940397816497149e-09
qt_jogadores_max,tx_conversao,0.03577741070304784,0.26001534606897736,0.12069844820863575,0.00013751625962697431
qt_avaliacoes,vl_tempo_jogo,-0.02020783483778783,0.524743697390269,0.09267207713984162,0.003468022413612799
qt_jogadores_max,qt_avaliacoes,0.019946732420537527,0.5301151458146222,0.06433433869318311,0.04267838051904465
qt_jogadores_max,tx_satisfacao,0.013556649296674241,0.6696143524061065,-0.025349172359397733,0.4249153245098786
