,qt_jogadores_min,qt_jogadores_max,nota_media,qt_avaliacoes,vl_tempo_jogo,idade_minima,tx_satisfacao,tx_conversao
qt_jogadores_min,0.0,6.926598244614037e-07,4.659539326068759e-09,0.6000017920791438,2.4074282623546276e-13,1.147034144667243e-11,9.324560325831412e-05,1.384242937387599e-20
qt_jogadores_max,6.926598244614037e-07,0.0,0.044695557260081516,0.04267838051904465,0.011266702697909026,0.02137412595580052,0.4249153245098786,0.00013751625962697431
nota_media,4.659539326068759e-09,0.04469555726008158,0.0,6.765451870970955e-09,8.511190216855093e-08,1.1980545019378375e-06,1.6260429728396391e-83,1.0940397816497149e-09
qt_avaliacoes,0.6000017920791438,0.04267838051904453,6.765451870970955e-09,0.0,0.003468022413612799,0.5248714458598426,0.08705649988100184,5.769655993723371e-73
vl_tempo_jogo,2.4074282623546276e-13,0.011266702697909026,8.511190216855093e-08,0.003468022413612799,0.0,1.6912869954347256e-54,1.7283975572917837e-11,0.0015061522798150535
idade_minima,1.147034144667243e-11,0.021374125955800502,1.1980545019378375e-06,0.5248714458598426,1.6912869954347256e-54,0.0,1.0237878031243486e-09,6.246856419310091e-07
tx_satisfacao,9.324560325831412e-05,0.4249153245098786,1.6260429728395085e-83,0.08705649988100184,1.7283975572917837e-11,1.0237878031243569e-09,0.0,3.3672992557987468e-15
tx_conversao,1.384242937387599e-20,0.00013751625962697464,1.0940397816497147e-09,5.769655993723898e-73,0.0015061522798150535,6.246856419310091e-07,3.3672992557987468e-15,0.0
