place_id,nome,endereco,capital_busca,termos_busca,termos_alta_precisao,varejo_grande,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,site_ou_rede_social,instagram_usuario,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,observacao,tem_fotos_maps,fotos_comprovam,tem_instagram,instagram_comprova
ChIJO3EbYq0fqwcRk3TM-RXuhhk,PBKIDS,"R. Padre Carapuceiro, 777 - 1º Andar Loja 194/195 - Boa Viagem, Recife - PE, 51020-280, Brazil",Recife,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.5,282,OPERATIONAL,http://www.pbkids.com.br/,,https://maps.google.com/?cid=1839419275980076179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJqUoRc_k5jgcRBRyPCkIV1Aw,Dinolândia,"Av. Raul Lopes, 1000 - Lj 181/2/3 - Noivos, Teresina - PI, 64046-902, Brazil",Teresina,board game,0,nao,loja,store;point_of_interest;establishment,4.2,238,OPERATIONAL,,,https://maps.google.com/?cid=924387196906970117&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJtwmvCcMXuAARJ_wLc4DM6IY,Marina Presentes,"R. José Teixeira, 346 - Praia do Canto, Vitória - ES, 29055-310, Brazil",Vitória,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.4,193,OPERATIONAL,https://marinapresentes.com.br/,,https://maps.google.com/?cid=9721244647737261095&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJkVeLdycFk40RBRBtgrK2ViI,Kiko Variedades,"R. Tertuliano Cardoso Ramos, 1763 - Santa Luzia, Boa Vista - RR, 69316-582, Brazil",Boa Vista,board game,0,nao,loja,store;point_of_interest;establishment,4.4,178,OPERATIONAL,,,https://maps.google.com/?cid=2474365923095285765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJB0LBiVeMf5ERNOwFrRIjAMk,Livraria El Shaday,"Av. Nações Unidas, 336 - Bosque, Rio Branco - AC, 69900-715, Brazil",Rio Branco,board game,0,nao,loja,book_store;store;point_of_interest;establishment,4.3,168,OPERATIONAL,,,https://maps.google.com/?cid=14483614964742745140&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ0caB7AeNf5ERLJd-Yw-Nbrw,1000 Presentes Vip,"Av. Ceará, 877 - Base, Rio Branco - AC, 69905-066, Brazil",Rio Branco,board game,0,nao,loja,home_goods_store;store;point_of_interest;service;establishment,4.3,152,OPERATIONAL,,,https://maps.google.com/?cid=13577945023801890604&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJSeYQWseN9gcR5EWhEXyzih4,PBKIDS . SÃO LUÍS,"Av. dos Holandeses, 5 - Calhau, São Luís - MA, 65071-380, Brazil",São Luís,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.6,145,OPERATIONAL,http://www.pbkids.com.br/,,https://maps.google.com/?cid=2200768713377007076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ4wtfShIbFgcRgInCYY_gpYM,SYSTECHinfo,"R. do Jaracatiá, 1048 - Lj B - Caminho das Árvores, Salvador - BA, 41820-665, Brazil",Salvador,board game,0,nao,loja,electronics_store;store;point_of_interest;establishment,4.3,137,OPERATIONAL,http://www.systechinfo.com.br/,,https://maps.google.com/?cid=9486235096550902144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ_Z2nzoeR9gcR_JuFYSunXrE,Kalunga,"Rio Anil Shopping - Av. São Luís Rei de França, 8 - Lj 1083A - Turu, São Luís - MA, 65065-470, Brazil",São Luís,board game,0,nao,loja,store;point_of_interest;establishment,4.5,124,OPERATIONAL,https://www.kalunga.com.br/lojas/endereco/maranhao/25/horario-de-funcionamento/0234,,https://maps.google.com/?cid=12780836597285624828&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJAVORl_PnrAcRx8xIIwOZu2U,Atacadão Primos Importados,"Av. Mandacarú, 305 - Cidade Padre Ze, João Pessoa - PB, 58025-760, Brazil",João Pessoa,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.4,109,OPERATIONAL,https://instagram.com/atacadaoprimosimportados?igshid=YmMyMTA2M2Y=,atacadaoprimosimportados,https://maps.google.com/?cid=7330621057231539399&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,não,não se aplica,não,não se aplica
