place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJP-6DqydazpQRu-n58Xh30HU,Taverna Medieval,"R. Gandavo, 456 - Vila Clementino, São Paulo - SP, 04023-001, Brazil",São Paulo,so_termo_baixa_precisao,quiz bar,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.7,19355,https://www.tavernamedieval.com.br/,2026-09-01
ChIJVfHvi8nl3JQRJZrmTr65g_k,Taverna do Dragão,"R. Chile, 1898 - Rebouças, Curitiba - PR, 80220-181, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,bar;hamburger_restaurant;gastropub;sandwich_shop;pub;american_restaurant;restaurant;food;point_of_interest;establishment,4.7,1912,https://www.tavernadodragao.com.br/,2026-09-01
ChIJNXpEAgIbbJIRFB1vTU4wGIk,Taverna do Drow,"R. São Luiz, 292 - Flores, Manaus - AM, 69028-277, Brazil",Manaus,sem_termo_chave,bar de jogos de tabuleiro;board game;board game bar;clube de jogos de tabuleiro;jogos de tabuleiro;loja de RPG;loja de jogos de tabuleiro,store;point_of_interest;establishment,4.8,5,https://lojatavernadodrow.com/,2026-09-01
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,"Av. Des. Dermeval Lyrio, 600 - Mata da Praia, Vitória - ES, 29065-340, Brazil",Vitória,fechado_definitivamente,board game bar,bar;association_or_organization;point_of_interest;establishment,4.8,104,,2026-09-01
ChIJFb8Ap7MZqwcRzUPEAgW_A84,Tem Asterisco?,"Av. Visc. de Albuquerque, 258 - Madalena, Recife - PE, 50610-090, Brazil",Recife,sem_termo_chave,jogos de tabuleiro;ludobar;ludoteca,point_of_interest;association_or_organization;establishment,5,1,,2026-09-01
ChIJ3-T7JvJ_mQARD0h22gP-q1M,Tempo de Recreio,"Praia de Botafogo, 400 - Botafogo, Rio de Janeiro - RJ, 22250-040, Brazil",Rio de Janeiro,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,3.8,11,,2026-09-01
ChIJa167XkRIxwcRFu9G7Nd2xuM,Teresa & Jorge,"R. João Cordeiro, 540 - Centro, Fortaleza - CE, 60110-300, Brazil",Fortaleza,so_termo_baixa_precisao,quiz bar,restaurant;cocktail_bar;bar;food;point_of_interest;establishment,4.5,2598,http://facebook.com/teresaejorge,2026-09-01
ChIJea5nFhBMxwcRXf17ok7s7bI,The Bar Pub and restaurant,"Av. Lineu Machado, 1514 - João XXIII, Fortaleza - CE, 60525-566, Brazil",Fortaleza,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.5,3531,https://instagram.com/thebarpub?igshid=1h9gtd6umxysk,2026-09-01
ChIJldDb9bdZzpQRGCliHfXqlY4,The Blue Pub,"Alameda Ribeirão Preto, 384 - Bela Vista, São Paulo - SP, 01331-000, Brazil",São Paulo,so_termo_baixa_precisao,quiz bar,cocktail_bar;gastropub;bar;live_music_venue;event_venue;restaurant;food;point_of_interest;establishment,4.5,11582,http://www.thebluepub.com.br/,2026-09-01
ChIJw-d4GUJXzpQR6eIiaPq4ses,The Blue Pub - Itaim,"Rua Tabapuã, 1439 - Itaim Bibi, São Paulo - SP, 04533-014, Brazil",São Paulo,so_termo_baixa_precisao,quiz bar,bar;irish_pub;bar_and_grill;night_club;pub;restaurant;food;point_of_interest;establishment,4.3,929,http://thebluepub.com.br/unidade-itaim/,2026-09-01
