place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJK9t-gc_NJJMRsuUvtcVjhY8,Sunset Bar,"Q. 108 Norte Alameda 8, 37 - lote 02 - Plano Diretor Norte, Palmas - TO, 77006-110, Brazil",Palmas,so_termo_baixa_precisao,quiz bar,bar_and_grill;beer_garden;bar;restaurant;food;point_of_interest;establishment,4.5,124,,2026-09-01
ChIJmfVYW0zdrAcR67G2aBDpXCI,Sunset Na Praia,"Av. Gov. Argemiro de Figueiredo, 840/102 - Jardim Oceania, João Pessoa - PB, 58037-030, Brazil",João Pessoa,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.5,392,,2026-09-01
ChIJ34rGmQbphpQRUxxSvEBAztw,Super Divertidoos,"R. Dr. Arthur Jorge, 2022 - Monte Castelo, Campo Grande - MS, 79010-060, Brazil",Campo Grande,so_termo_baixa_precisao,ludoteca,restaurant;food;point_of_interest;establishment,4,795,https://linktr.ee/superdivertidoos,2026-09-01
ChIJ_f9s4YBdMpIRn_lSDk_00P8,Sutil Gastrobeer,"Av. Jatuarana, 6380 - Eldorado, Porto Velho - RO, 76811-898, Brazil",Porto Velho,sem_termo_chave,ludobar;quiz bar,brewery;cocktail_bar;bar;service;point_of_interest;manufacturer;food;establishment,4.7,66,http://www.sutilgastrobeer.com.br/,2026-09-01
ChIJ4cxHITON9gcR28DfJER9bLM,TOON TOWN,"Av. Pres. Juscelino Kubitscheck, 13 - Quintas do Calhau, São Luís - MA, 65072-005, Brazil",São Luís,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,https://www.instagram.com/toontownslz/,2026-09-01
ChIJ_aoJowXhYY0RexhM2OIROCU,Taberna pub,"Av. Padre Júlio Maria Lombaerd, 3646 - Central, Macapá - AP, 68901-283, Brazil",Macapá,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.7,49,,2026-09-01
ChIJq_SRSCBdMpIRdWsaqYv33dQ,Tacos Lounge Bar,"R. Joaquim Nabuco, 2699 - Olaria, Porto Velho - RO, 76801-261, Brazil",Porto Velho,sem_termo_chave,bar de jogos de tabuleiro;ludobar;quiz bar,pub;bar;point_of_interest;establishment,4.4,243,https://www.instagram.com/tacoslounge/,2026-09-01
ChIJN4vDZyaznZMR8SQZuXccxjM,Tadeu Rock Bar,"Santa Rosa, Cuiabá - MT, 78158-720, Brazil",Cuiabá,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.7,131,https://www.instagram.com/tadeurockbar/,2026-09-01
ChIJ4aUiztSznZMRl-1sYu-d79I,Talavera Bar e Restaurante,"Av. José Rodrigues do Prado, 40 - Santa Rosa, Cuiabá - MT, 78040-350, Brazil",Cuiabá,sem_termo_chave,ludobar,restaurant;cocktail_bar;salad_shop;mediterranean_restaurant;brazilian_restaurant;diner;bar;pizza_restaurant;food;point_of_interest;establishment,4.5,2956,http://www.talaverabar.com.br/,2026-09-01
ChIJiXqBkbBFAQcRVHmnIQ2w9mI,Tapanacê Beer Truck,"Tapanacê Beer Truck Praça Denis Agra - R. Aprígio Francisco de Souza, S/N - Poço, Maceió - AL, 57025-280, Brazil",Maceió,so_termo_baixa_precisao,quiz bar,cocktail_bar;brewery;bar;restaurant;service;point_of_interest;manufacturer;food;establishment,4.6,704,,2026-09-01
ChIJ54vNHFDLJJMRiE02_56Zzsc,Tastro Gastrobar,"Praia da Graciosa - Q. Orla 14 Alameda 11 - Plano Diretor Sul, Palmas - TO, 77026-050, Brazil",Palmas,sem_termo_chave,ludobar;quiz bar,pub;bar;restaurant;point_of_interest;food;establishment,4.5,807,,2026-09-01
ChIJ47hgAMDphpQRJUVnUhW3wZs,Tatu Bola Bar,"R. Espírito Santo, 851 - Jardim dos Estados, Campo Grande - MS, 79321-788, Brazil",Campo Grande,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.6,3306,https://tatubolabar.com.br/,2026-09-01
ChIJIfH6eY2xnZMRmxvqH0iQZEk,Tatu Bola Bar,"R. Sen. Vilas Bôas, 48 - Popular, Cuiabá - MT, 78045-430, Brazil",Cuiabá,sem_termo_chave,bar de jogos de tabuleiro;ludobar,bar_and_grill;cocktail_bar;bar;restaurant;point_of_interest;food;establishment,4.7,894,https://tatubolabar.com.br/,2026-09-01
