place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJwcpE2sCzGgcRo8zpg0eNwdA,Parmezza,"R. Aloísio Rodrigo Teti Filho - Jardins, Aracaju - SE, 49025-830, Brazil",Aracaju,so_termo_baixa_precisao,quiz bar,restaurant;food;point_of_interest;establishment,5,153,https://www.instagram.com/parmezza.aju?igsh=ZXc2OHdkZ2VneHV0&utm_source=qr,2026-09-01
ChIJ0UmPntbCrAcR2x-4lXwJNF0,Parque Cabo Branco,"Av. Cabo Branco, 2492 - Cabo Branco, João Pessoa - PB, 58045-010, Brazil",João Pessoa,so_termo_baixa_precisao,ludoteca,food_court;park;food;point_of_interest;establishment,4.7,14714,https://www.instagram.com/parquecabobranco/?hl=pt-br,2026-09-01
ChIJm3lMHrVq7CoRrFLoe_3wu8Q,Parque Caracol - Diversão segura e monitorada para crianças - Aniversários - Colônia de Férias,"R. Irlanda, 413 - Itapoã, Belo Horizonte - MG, 31710-010, Brazil",Belo Horizonte,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,70,https://www.instagram.com/caracol_entretenimentos/,2026-09-01
ChIJf0xOjxHl3JQRT1CUGUUunHc,Parque MikeWood,"R. São Bartolomeu, 382 - Cajuru, Curitiba - PR, 82900-330, Brazil",Curitiba,so_termo_baixa_precisao,ludoteca,tourist_attraction;scenic_spot;amusement_park;amusement_center;point_of_interest;establishment,4.6,3142,http://www.mikewood.com.br/,2026-09-01
ChIJs880fdVFAQcRDJ85vbEBgSg,Parque Shopping Maceió,"Av. Comendador Gustavo Paiva, 5945 - Cruz das Almas, Maceió - AL, 57038-000, Brazil",Maceió,sem_termo_chave,bar de jogos de tabuleiro;jogos de tabuleiro;luderia,shopping_mall;food_court;womens_clothing_store;movie_theater;clothing_store;restaurant;store;point_of_interest;food;establishment,4.7,42950,http://www.maceioparqueshopping.com.br/,2026-09-01
ChIJdzOP3us5jgcRDr2JMx1E9Ks,Parque da Villa,"Teresina Shopping - Av. Raul Lopes, 1000 - Loja 463 - Noivos, Teresina - PI, 64046-902, Brazil",Teresina,so_termo_baixa_precisao,ludoteca,amusement_park;point_of_interest;establishment,4.6,59,https://www.instagram.com/parquedavilla/,2026-09-01
ChIJpcKKOGxFAQcRVh3q4zQHX2U,Parquinho - O Mundo de João e Maria,"Vizinho à praça de alimentação - Av. Comendador Gustavo Paiva, 5945 - Lj 3053, 3° piso - Cruz das Almas, Maceió - AL, 57038-000, Brazil",Maceió,so_termo_baixa_precisao,ludoteca,sports_activity_location;point_of_interest;establishment,5,109,https://www.instagram.com/mundo.de.joaoemaria/,2026-09-01
ChIJ0ya6dETLJJMRS91MHobYDeA,Parquinho Infantil - Praia da Graciosa,"Plano Diretor Sul, Palmas - TO, Brazil",Palmas,so_termo_baixa_precisao,ludoteca,playground;point_of_interest;establishment,4.6,411,http://palmas.to.gov.br/,2026-09-01
ChIJWcnE40HLJJMRu2TEqP18OYA,Parquinho infantil - Praça dos Girassóis,"377 - Praça dos Girassóis, 579 - Plano Diretor Sul, Palmas - TO, 77015-007, Brazil",Palmas,so_termo_baixa_precisao,ludoteca,event_venue;point_of_interest;establishment,4.2,81,https://www.instagram.com/_descubraotocantins?igsh=YzljYTk1ODg3Zg==,2026-09-01
ChIJ4cYKt4RHJ5URSASH1VXTK8c,Passeio Kids Primavera,"SC-401, 4100 - Saco Grande, Florianópolis - SC, 88032-005, Brazil",Florianópolis,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.9,107,https://passeiokids.com.br/,2026-09-01
ChIJOY3lKrk7jgcRiHOLrwitIuA,Pegadas do Afeto Casa de Brincar,"R. Profa. Adalgisa Paiva, 1611 - Morada do Sol, Teresina - PI, 64056-490, Brazil",Teresina,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,4.8,11,,2026-09-01
ChIJL4qPsG9IxwcRKaSEJ1sxOjQ,Piadaria | O Melhor Show De Humor Em Fortaleza,"Beira Mar Trade Center - R. Osvaldo Cruz, 01 - Loja 02 - Meireles, Fortaleza - CE, 60125-151, Brazil",Fortaleza,sem_termo_chave,ludobar,comedy_club;point_of_interest;establishment,4.7,2710,,2026-09-01
ChIJVVVVVYXzsXoRPJOHUKGUwWU,Pina Cocktails & Co.,"R. Est. Jeremias Bastos, 153 - Pina, Recife - PE, 51011-040, Brazil",Recife,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.7,424,https://instagram.com/pinacocktails?utm_medium=copy_link,2026-09-01
ChIJNVZ9yppJxwcRlYALJc5T0j4,Pirata Bar,"R. dos Tabajaras, 325 - Praia de Iracema, Fortaleza - CE, 60060-510, Brazil",Fortaleza,sem_termo_chave,ludobar;quiz bar,bar;banquet_hall;night_club;sports_club;event_venue;association_or_organization;restaurant;point_of_interest;food;establishment,4.5,2754,https://www.pirata.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15957883152179209101,2026-09-01
ChIJ1zTXTX2OpJIRqhcdf0Myv4E,Pixito Bar e Restaurante,"Av. Serzedelo Corrêa, 833 - Batista Campos, Belém - PA, 66033-770, Brazil",Belém,so_termo_baixa_precisao,quiz bar,restaurant;bar_and_grill;bar;food;point_of_interest;establishment,4.3,326,,2026-09-01
ChIJSy7xgLJcMpIRipLTwzwPU3w,Planet Park,"Av. Rio Madeira, 3288 - Flodoaldo Pontes Pinto, Porto Velho - RO, 76820-408, Brazil",Porto Velho,sem_termo_chave,loja de card game;ludoteca,video_arcade;amusement_park;shopping_mall;point_of_interest;establishment,4.3,1360,http://www.planetpark.com.br/,2026-09-01
ChIJFROnJgCP9gcR5I9kpZkhT2A,Planet park,"Av. Daniel de La Touche, 987 - Bequimão, São Luís - MA, 65074-115, Brazil",São Luís,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.3,12,,2026-09-01
ChIJ1cQoJ2r5sgcRtTeq8MWZmy8,Planeta Brincar,"Av. Ayrton Senna, 2441 - Nova Parnamirim, Parnamirim - RN, 59151-906, Brazil",Natal,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,1,,2026-09-01
ChIJCxWT9Y7_sgcR8eMvn6pPZf4,Planeta Brincar - Cidade Jardim,"Av. Engenheiro Roberto Freire, 340 - Capim Macio, Natal - RN, 59080-900, Brazil",Natal,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJiw_ahBobFgcRLpTyL_kozko,Planeta Criança,"Av. Tancredo Neves, 148 - Caminho das Árvores, Salvador - BA, 41820-020, Brazil",Salvador,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,4.4,95,http://planetacriancasalvador.com.br/var/www/html/planetacriancasalvador.com.br/web/o-planeta-crianca,2026-09-01
