place_id,nome,endereco,capital_busca,lat,lng,qt_praias_parques_500m,qt_praias_parques_1000m,qt_shoppings_grandes_500m,qt_shoppings_grandes_1000m,qt_estacoes_metro_500m,qt_estacoes_metro_1000m
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),"Av. Cel. Belchior de Godói, 1330 - Santa Terezinha, Araguari - MG, 38447-218, Brazil",Boa Vista;Teresina,-18.6405603,-48.2071542,2,10,0,0,0,0
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,"R. São Marcos, 127 - Santa Inês, Vila Velha - ES, 29108-050, Brazil",Boa Vista;Vitória,-20.3447463,-40.3108461,2,9,0,0,0,0
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,"Guará II QE 26 BLOCO B Lj 31 - Guará, Brasília - DF, 71060-621, Brazil",Brasília,-15.8331212,-47.9838145,2,4,0,0,0,1
ChIJzdFNP3AyWpMRH2P6HEuhE-I,Loja de Jogos - Asgard,"Rua 25 Sul, Lote 30 Bloco A loja 1 - Águas Claras, Brasília - DF, 71928-720, Brazil",Brasília,-15.843839500000001,-48.0292294,9,17,0,0,1,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,"Max Mall - R. 7 Norte, Lotes 3/5/7 Quiosque 02 - Águas Claras, Brasília - DF, 71908-180, Brazil",Brasília,-15.8345864,-48.01380210000001,12,19,0,0,1,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,"R. das Paineiras, 06 - Lj 25, térreo - Norte, Brasília - DF, 71918-000, Brazil",Brasília,-15.838189700000001,-48.0326842,5,19,0,1,0,2
ChIJN8BZeb85WpMRgVKT05caxB4,Utopia Games & Food,"SHCN CL QD 116 CLN 116 BLOCO I Lojas 31 e 35 subsolo - Asa Norte, Brasília - DF, 70773-590, Brazil",Brasília,-15.737604099999999,-47.8952344,1,5,0,1,0,0
ChIJOUXU1akzWpMRC7rrq4o9GZc,game food,"SHA conjunto 5 chácara 109 lote 09 loja 3 - buteco do val - Arniqueira, Brasília - DF, 71995-450, Brazil",Brasília,-15.867116999999999,-48.0164577,1,2,0,0,0,0
ChIJye7AnK07WpMRC94S9hM95Y4,Orgutal Casa de Jogos,"CLN 205, bloco B, loja 11, 2º andar - Asa Norte, Brasília - DF, 70843-520, Brazil",Brasília;Campo Grande,-15.770435699999998,-47.879678999999996,1,4,0,0,0,0
ChIJFXw-sPbohpQR5eMb1gcDtNs,Joga Burger,"Av. Nelly Martins, 76 - Portal Itayara, Campo Grande - MS, 79032-295, Brazil",Campo Grande,-20.441130599999997,-54.5812791,4,12,0,0,0,0
ChIJV-ILP3axnZMRXR-ujzUSeoM,Mister Game Drinks,"R. canario da terra, 15 - Morada da Serra, Cuiabá - MT, 78058-208, Brazil",Cuiabá,-15.562411899999999,-56.0314543,1,2,0,0,0,0
ChIJARvKn9ixnZMR-qHHZX56vO4,"Poltrona Nerd - Bar, Games & Burger","R. Managua, 132 - Jardim das Américas, Cuiabá - MT, 78060-604, Brazil",Cuiabá,-15.6058113,-56.0740536,5,8,0,2,0,0
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,"R. Nilo Peçanha, 16 - São Francisco, Curitiba - PR, 80520-000, Brazil",Cuiabá;Curitiba,-25.420183299999998,-49.2744936,3,28,1,1,0,0
ChIJ0ftSGFzw3JQRtoakn1mqyOs,Geek Burguer,"Alameda Dr. Carlos de Carvalho, 805 - Centro, Curitiba - PR, 80410-180, Brazil",Curitiba,-25.4341834,-49.2826181,8,27,3,8,0,0
ChIJc3F7ka83J5URQZ1XTl-_iak,Chef on Play,"Rua kk - atrás do bem bolado bar - Praça Atílio ferreira, 07 - Trindade, Florianópolis - SC, 88080-701, Brazil",Florianópolis,-27.587930999999998,-48.523132999999994,3,5,0,2,0,0
ChIJJz8-gcY3J5URYdZrEXdHaAk,Cineplay- Restaurante e Jogos,"R. Getúlio Vargas, 362 - Centro, São José - SC, 88103-400, Brazil",Florianópolis,-27.6115524,-48.6272253,4,6,0,0,0,0
ChIJsTy8gUxLxwcRCKRfkhIP8zM,Games bar,"R. Coelho Neto, 1767 - Barra do Ceará, Fortaleza - CE, 60336-210, Brazil",Fortaleza,-3.7121402999999993,-38.580314099999995,2,3,0,0,0,0
ChIJb0TXDUndrAcRi0y4ut782Hw,Grão-Mestre Luderia,"R. Antônio Gama, 669 - Expedicionários, João Pessoa - PB, 58041-110, Brazil",João Pessoa,-7.1258327999999995,-34.8511671,0,3,0,0,0,0
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,"R. Funcionário Odon Almeida, 271 - Mangabeira, João Pessoa - PB, 58058-520, Brazil",João Pessoa,-7.1683372,-34.8275376,1,1,0,1,0,0
ChIJqQGLHGfnrAcR7cbxZrSPynE,Taverna Mestre Ogro,"R. Alfredo José Athaíde, 189 - ap106 - Alto do Céu, João Pessoa - PB, 58027-740, Brazil",João Pessoa,-7.099467499999999,-34.8694748,2,6,0,0,0,0
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,"Acelino de Leão, 1503 - Buritizal, Macapá - AP, 68901-092, Brazil",Macapá,0.0262662,-51.069543900000006,2,5,0,1,0,0
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,"Av. Desidério Antônio Coelho, 1189 - Trem, Macapá - AP, 68901-080, Brazil",Macapá,0.026959900000000002,-51.066423799999995,1,5,0,1,0,0
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brazil",Maceió,-9.7610538,-36.6584238,2,8,0,0,0,0
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,"Av. Maués, 700 - Cachoeirinha, Manaus - AM, 69065-070, Brazil",Manaus,-3.1265798000000005,-60.001696300000006,1,3,0,0,0,0
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,"R. Lapis Lazuli, 6 - Nossa Sra. das Graças, Manaus - AM, 69053-600, Brazil",Manaus,-3.1040804,-60.01650850000001,6,17,1,3,0,0
ChIJweOclBAQbJIRztG7ZblPNSk,Tetris Game Burger,"Av. Djalma Batista, 31 - Chapada, Manaus - AM, 69053-000, Brazil",Manaus,-3.0978272,-60.02424409999999,3,18,3,3,0,0
ChIJd5jnFQAFbJIRyaRaoNBV_hg,Vezzo - Doces e Jogos,"Av. Visc. de Porto Alegre, 721 - Praça 14 de Janeiro, Manaus - AM, 69020-130, Brazil",Manaus,-3.1299341999999997,-60.01352310000001,3,11,0,0,0,0
ChIJHSDPTgF5GZURKmSqKITyoGM,Arcadea Gaming Pub,"R. Gen. Neto, 440 - Moinhos de Vento, Porto Alegre - RS, 90560-020, Brazil",Manaus;Porto Alegre,-30.0215237,-51.206898599999995,6,12,0,3,0,0
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,"Shopping Via Direta - Av. Sen. Salgado Filho, 2233 - Loja 624 - Lagoa Nova, Natal - RN, 59076-000, Brazil",Natal,-5.841018399999999,-35.2093467,6,12,2,2,0,0
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,"R. João Balbino, 537 - Santa Mônica, Uberlândia - MG, 38408-265, Brazil",Palmas,-18.918741600000004,-48.2307426,1,7,0,0,0,0
