id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes
44772,Calamandara,2024,2024.0,2,4.0,90,13,295,14,41,315,237,10,Corrida;Gerenciamento de Mãos;Eventos;Movimento em Grades;Toma Essa;Captura de Peças;Colocação de Peças;Fim por Morte Súbita;Grade com Quadrados;Tabuleiro Modular,2,Estratégia Abstrata;Jogo de Cartas,Aventura;Fantasia;Literatura,https://ludopedia.com.br/jogo/calamandara,0.9546925566343042,1.0677966101694916,0.13898305084745763,10,2.0,9.27,8.37,132
24320,Seven Galaxies,2020,2020.0,2,6.0,30,10,124,9,26,48,42,4,Gerenciamento de Mãos;Eliminação de Jogadores;Jogadores com Diferentes Habilidades;Toma Essa,2,Colecionável;Jogo de Cartas,Ficção Científica;Fantasia,https://ludopedia.com.br/jogo/seven-galaxies,0.9323308270676691,0.3870967741935484,0.20967741935483872,4,4.0,9.26,7.58,47
77106,Everdell Silverfrost,2025,2026.0,1,4.0,60,10,213,3,20,401,160,4,Colecionar Conjuntos;Gerenciamento de Mãos;Alocação de Trabalhadores;Compra Aberta,0,,Animais;Fantasia,https://ludopedia.com.br/jogo/everdell-silverfrost,0.9861111111111112,1.8826291079812207,0.09389671361502347,4,3.0,9.26,7.41,38
85965,Nippon: Zaibatsu - Edição Imperial,2026,2026.0,1,4.0,120,12,134,0,10,82,242,6,Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Bônus de Fim de Jogo;Contratos;Influência / Maioria na Área;Solo / Solitário,0,,Cultura Oriental;Economia / Produção,https://ludopedia.com.br/jogo/nippon-zaibatsu-emperor-s-edition,1.0,0.6119402985074627,0.07462686567164178,6,3.0,9.25,7.69,54
53416,Ticket to Ride Legacy: Lendas do Oeste,2023,2023.0,2,5.0,90,10,694,42,64,813,758,10,Bônus de Fim de Jogo;Colecionar Conjuntos;Compra Aberta;Conexões;Construção de Redes e Rotas;Contratos;Force sua sorte;Gerenciamento de Mãos;Legado;Compra Fechada,1,Jogo Assimétrico,Transportes,https://ludopedia.com.br/jogo/ticket-to-ride-legacy-legends-of-the-west,0.9429347826086957,1.1714697406340058,0.09221902017291066,10,3.0,9.25,8.69,241
64469,SETI: Busca por Inteligência Extraterrestre,2024,2025.0,1,4.0,160,14,1497,80,242,2047,2340,7,Bônus de Fim de Jogo;Cartas Multiuso;Ordem do Turno: Progressivo;Preparação Variável;Recurso para Mover;Rendimentos;Solo / Solitário,0,,Ciências;Ficção Científica,https://ludopedia.com.br/jogo/seti-search-for-extraterrestrial-intelligence,0.9492707672796449,1.3674014696058785,0.16165664662658652,7,3.0,9.23,9.0,677
56534,Duna: Imperium - Uprising,2023,2025.0,1,6.0,120,13,1081,50,166,1033,1339,12,"Alocação de Trabalhadores;Cartas Multiuso;Compra Aberta;Construção de Baralho, Bolsas e Peças;Jogadores com Diferentes Habilidades;Resolução de Conflitos por Cartas;Valorização dos Recursos Não Escolhidos;Solo / Solitário;Jogo em Equipe;Ordem do Turno: Progressivo;Comprometer Forças;Compra Futura",2,Expansão ou Suplemento;Jogo de Cartas,Ficção Científica;Cultura Pop ou Geek;Política,https://ludopedia.com.br/jogo/dune-imperium-uprising,0.9557913351016799,0.9555966697502313,0.15356151711378355,12,5.0,9.22,8.87,412
31155,Voidfall,2023,2025.0,1,4.0,180,14,447,34,62,625,412,11,Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Grades;Pontos de Ação;Tabuleiro Modular;Impulso de Área;Cartas de Comando;Cooperativo;Eventos;Grade Hexagonal;Solo / Solitário,1,4x,Civilização;Economia / Produção;Ficção Científica,https://ludopedia.com.br/jogo/voidfall,0.9293139293139293,1.3982102908277405,0.13870246085011187,11,3.0,9.22,8.34,133
63029,O Último Dado,2024,2024.0,4,6.0,40,14,100,2,24,51,66,4,Cartas Multiuso;Pontos de Ação;Rolagem de Dados;Eliminação de Jogadores,3,Estratégia Abstrata;Jogo de Cartas;Jogo de Dados,Aventura;Fantasia,https://ludopedia.com.br/jogo/o-ultimo-dado,0.9803921568627451,0.51,0.24,4,2.0,9.15,7.73,61
53447,Carcassonne Big Box 7,2021,2024.0,2,6.0,35,7,190,11,21,156,140,3,Colocação de Peças;Influência / Maioria na Área;Mapa: Adição,0,,Medieval,https://ludopedia.com.br/jogo/carcassonne-big-box-7,0.945273631840796,0.8210526315789474,0.11052631578947368,3,4.0,9.13,7.68,58
