place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes,num_caracteres_texto,texto_avaliacao_filtrado
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,2,5,pt,a month ago,"Recomendo muito vc ir!!

O local tem sinuca,pembolim e boliche 🎳 (sem contar todos aqueles jogos de tabuleiro)

A comida é ótima e o boliche, mesmo sendo pequeno é MT bom",False,False,menor,promotor,maior,170,local sinuca pembolim 🎳 em conta jogos tabuleiro comida ótima boliche pequeno MT bom
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,3,1,pt,4 months ago,"Gente, eu estou passada com o péssimo atendimento e funcionamento do local.
Você chega no local ninguém te orienta direito. Fizemos a reserva do boliche para as 21h, quando deu o horário os funcionários não nos orientou, não avisou ao pessoal da outra reserva que eles precisavam sair para o grupo do outro horário entrar. O karaokê que aparentemente não precisava de reserva, eles não tem uma logística para que todos usem, não tem microfone, ambos estavam quebrados. Quando conseguimos entrar na sala do karaokê, depois de 2h esperando, não tinha internet suficiente para carregar uma música sequer.

O atendimento do salão, pessoas mal educadas e improdutivas.

Eu não volto mais e nem acho que vale a pena o estresse. Melhor comprar o jogo e jogar em casa",False,False,menor,detrator,maior,759,Gente passada péssimo atendimento funcionamento local local direito reserva boliche 21h horário funcionários pessoal reserva grupo horário karaokê reserva logística microfone quebrados sala karaokê 2h suficiente música sequer atendimento salão pessoas improdutivas pena estresse jogo casa
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,4,1,pt,4 months ago,"Local excelente, com muitas opções para ser divertir , porém fomos muito mal tratadas pelos funcionários. Um pessimo atendimento, todos trabalhando como se estivessem sobrecarregados.

E foi exatamente isso que um dos funcionários falou , devido uma falta de 2 milk-shake o mesmo falou que não era uma máquina para da conta de tudo sozinho.

No final ainda teve uma funcionária que foi bastante sarcástica quando falamos que não precisava mas do milkshake.

Fora a cara negativa dos funcionários.",True,False,menor,detrator,maior,496,Local excelente opções funcionários pessimo atendimento funcionários falta máquina conta sozinho final funcionária sarcástica milkshake cara negativa funcionários
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,1,5,pt,2 months ago,"Se tivesse 10 estrelas pra comida eu dava 11, tudo muito gostoso 😋 e não achamos que seria por ser um lugar de jogos mas é incrível, a chef Lilian está de parabéns junto com a equipe da cozinha. Infelizmente não tirei foto dos pratos!
Os atendentes ALEX E GUILHERME explicam os jogos perfeitamente, achei um dos melhores lugares pra jogos! O ambiente é limpo e a play list muito boa também",False,False,menor,promotor,outlier,389,estrelas comida gostoso 😋 lugar jogos incrível chef Lilian parabéns equipe cozinha foto pratos atendentes ALEX GUILHERME jogos melhores lugares jogos ambiente limpo play list boa
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,2,5,pt,3 months ago,"Comemoramos o aniversário de duas amigas minhas no dia 30/05/2026 e fomos recebidos muito bem.

Agradecimentos especiais a Gabriele, Alex e Jesus. Gabriele super proativa nos atendeu super bem e ofereceu que guardasse o bolo, sem precisarmos solicitar.
Alex e Jesus nos ensinou o jogo super bem e esteve presente para auxiliar no desenrolar da competição, oque tornou tudo muito divertido.",False,False,menor,promotor,outlier,389,aniversário amigas dia Agradecimentos especiais Gabriele Alex Jesus Gabriele proativa bolo Alex Jesus jogo presente competição oque divertido
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,3,4,pt,6 months ago,"Cuidado com as cobranças. Ficar esperto que qq jogo q tiver é 30 reais, mesmo se vc só pegar, 1, ou brincar pouco, ou n gostar... não importa. O valor é cobrado em separado de tudo.  E ainda sim,  por pessoa, nem é por mesa. E tem mais. Os ""10%"" do atendimento lá são 13%. Já o valor dos pratos eh totalmente condizente com o local,  ambiente etc.  E muito bons,  por sinal.",False,False,menor,neutro,outlier,374,Cuidado cobranças esperto qq jogo q reais valor separado pessoa mesa atendimento valor pratos local ambiente bons sinal
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,4,5,pt,3 months ago,"Gostei muito da casa! Viemos comemorar um aniversário e foi muito divertido. Fomos muito bem atendidos pela Camila, Pedro, Bruno e Alex! Com certeza voltaremos!",False,False,menor,promotor,outlier,160,casa aniversário divertido Camila Pedro Bruno Alex certeza
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,0,5,pt,5 months ago,"Amei muito o local!

Os hambúrgueres estão no meu top 3 de melhores que já provei.

O atendimento é perfeito, o Arthur indica os jogos e ainda explica como jogá-los.

O espaço em si também é muito bom, mesas limpas e som agradável.

Muita variedade de jogos, estão de parabéns!

Eu e o meu marido gastamos o total de R$100 com 2 lanches e 2 bebidas + os R$10 de cada para jogar os jogos.",False,False,maior,promotor,menor,387,Amei local hambúrgueres top melhores atendimento perfeito Arthur jogos espaço bom mesas limpas som agradável variedade jogos parabéns marido total lanches bebidas + cada jogos
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,1,5,pt,a year ago,"Bar com jogos de tabuleiro, a diversão é garantida para aqueles que curtem esses tipos de jogos, e mesmo que vc não conheça, vale muito a pena passar para conhecer, atendimento feito com simpatia e paciência para explicar os jogos e sobre o cardápio também. Hambúrguer com sabor bem suave e valores bem em conta. Situado no mesmo nível da rua e com acessibilidade.",False,False,maior,promotor,menor,364,Bar jogos tabuleiro diversão garantida tipos jogos vc pena atendimento simpatia paciência jogos cardápio Hambúrguer sabor suave valores em conta mesmo nível rua acessibilidade
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,2,5,pt,a month ago,"Um lugar excelente pra você vim com seus amigos, namorada e familiares. Além dos garçons serem otimos na profissão, também são muitos educados. Ambiente muito bom, aqui é o lugar que você deveria experimentar! .",False,False,maior,promotor,menor,211,lugar excelente amigos familiares garçons profissão educados Ambiente bom lugar
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,3,5,pt,a year ago,"Ambiente super aconchegante, lanches e porções maravilhosas.
E para completar tem vários jogos, para todos os gostos. Eles ensinam e indicam jogos, caso fiquem com dúvidas.
Voltaremos mais vezes",False,False,maior,promotor,menor,194,Ambiente aconchegante lanches porções maravilhosas jogos gostos jogos dúvidas Voltaremos vezes
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,4,5,pt,2 months ago,"Absolutamente perfeito, comida saborosa o atendimento é super caseiro e familiar e é o lugar perfeito para passar tempo com amigos e família. Variedade absurda de jogos, nacionais importados, antigos e novos, com certeza retornarei mais vezes.",False,False,maior,promotor,menor,243,perfeito comida saborosa atendimento super caseiro familiar lugar perfeito tempo amigos família Variedade absurda jogos nacionais importados antigos novos certeza vezes
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,1,5,pt,7 years ago,Kbludo é um ótimo barman um exemplo de ser humano conhecido em sua localidade como uma pessoa tranquilo simpático e trabalhador isso ele sempre foi Kbludo e um ótimo empreendedor e tenta levar uma experiência para seus clientes de forma q onde os clientes acabam virando amigos também do próprio Kbludo Luiz e um ótimo amigo e vale a pena você q gosta de bares frequentar esse local,False,False,maior,promotor,menor,382,Kbludo ótimo barman exemplo ser humano localidade pessoa tranquilo simpático trabalhador Kbludo ótimo empreendedor experiência clientes forma clientes amigos Kbludo Luiz ótimo amigo pena bares local
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,2,5,pt,2 years ago,"Show de bola !!!!! Quem quer ter uma nostalgia de jogo de cartas e boas conversas,esse é o lugar !!!!!!",False,False,maior,promotor,menor,103,Show bola nostalgia jogo cartas boas conversas lugar
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,3,5,pt,6 years ago,Otima.Faz um Hamburger nota 1000.Com um atendimento exemplar.,False,False,maior,promotor,menor,61,Otima Hamburger nota atendimento exemplar
