,qt_jogadores_min,qt_jogadores_max,nota_media,qt_avaliacoes,vl_tempo_jogo,idade_minima,tx_satisfacao,tx_conversao
qt_jogadores_min,1.0,0.16022903220275725,-0.09270690341288548,0.06193251110393293,-0.1793700808974108,-0.35900357473294753,-0.027599501143069124,0.17368221406986378
qt_jogadores_max,0.16022903220275725,1.0,-0.15538021945530853,-0.03170271218407163,-0.04125929588321701,-0.07991188113875736,-0.061943704046095276,0.11641302065261079
nota_media,-0.09270690341288548,-0.15538021945530853,1.0,-0.1089812809302485,0.277743374762927,0.18658418056054357,-0.4173878648715259,-0.3547615283850278
qt_avaliacoes,0.06193251110393293,-0.03170271218407163,-0.1089812809302485,1.0,-0.0063704763648103,-0.05020544147032273,-0.15415088692327672,0.6188955054768686
vl_tempo_jogo,-0.1793700808974108,-0.04125929588321701,0.277743374762927,-0.0063704763648103,1.0,0.5111535641170664,-0.2626156145626772,-0.0004972448657633403
idade_minima,-0.35900357473294753,-0.07991188113875736,0.18658418056054357,-0.05020544147032273,0.5111535641170664,0.9999999999999999,-0.21239991478249343,-0.05500895717516237
tx_satisfacao,-0.027599501143069124,-0.061943704046095276,-0.4173878648715259,-0.15415088692327672,-0.2626156145626772,-0.21239991478249343,1.0,0.11717603910731825
tx_conversao,0.17368221406986378,0.11641302065261079,-0.3547615283850278,0.6188955054768686,-0.0004972448657633403,-0.05500895717516237,0.11717603910731825,1.0
