,avaliacao_media_estabelecimento,nota_avaliacao,volume_avaliacoes_estabelecimento,num_caracteres_texto
avaliacao_media_estabelecimento,0.0,2.094095772553072e-09,0.006488581470787752,0.02456466073639388
nota_avaliacao,2.094095772553072e-09,0.0,0.11689226223266859,3.7713440266897542e-06
volume_avaliacoes_estabelecimento,0.006488581470787758,0.11689226223266859,0.0,3.86358997416016e-08
num_caracteres_texto,0.02456466073639388,3.7713440266897542e-06,3.86358997416016e-08,0.0
