cluster,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,n
0,2022.34,2023.63,1.42,4.4,96.7,12.2,604.29,61.61,63.53,549.59,657.03,7.08,1.11,8.85,239.04,156
1,2016.55,2019.4,1.53,4.38,112.02,12.47,2711.72,439.57,444.15,2079.4,3217.3,10.36,1.06,8.79,1526.13,47
