var1,var2,pearson_r,pearson_p,spearman_r,spearman_p
qt_avaliacoes,tx_conversao,0.6188955054768686,7.520104428142452e-23,0.7263312183073819,1.4417326153731024e-34
vl_tempo_jogo,idade_minima,0.5111535641170664,6.572686074728722e-15,0.5005560503919898,2.8538770172313385e-14
nota_media,tx_satisfacao,-0.4173878648715259,5.819784403940316e-10,-0.5884526831114396,2.6499830048313353e-20
qt_jogadores_min,idade_minima,-0.35900357473294753,1.4418983825652736e-07,-0.37342550642019934,4.077901768742885e-08
nota_media,tx_conversao,-0.3547615283850278,2.066309317735932e-07,-0.3029064452045556,1.1192911280786097e-05
nota_media,vl_tempo_jogo,0.277743374762927,6.020138870336013e-05,0.26765636296173734,0.00011308887071829247
vl_tempo_jogo,tx_satisfacao,-0.2626156145626772,0.0001535563400546653,-0.30530995551394025,9.451554173675844e-06
idade_minima,tx_satisfacao,-0.21239991478249343,0.002347501629650208,-0.3030460093815086,1.1083995814463633e-05
nota_media,idade_minima,0.18658418056054357,0.0076885939641460925,0.1883115846602463,0.007132937835888333
qt_jogadores_min,vl_tempo_jogo,-0.1793700808974108,0.010447640461013756,-0.35461172646996486,2.0925312041205756e-07
qt_jogadores_min,tx_conversao,0.17368221406986378,0.013205693455530814,0.1576020192802197,0.024725164089842815
qt_jogadores_min,qt_jogadores_max,0.16022903220275725,0.022395685135047035,0.1348647912474495,0.05505581428826468
qt_jogadores_max,nota_media,-0.15538021945530853,0.026855042991687495,-0.1683947247597618,0.016322861811188357
qt_avaliacoes,tx_satisfacao,-0.15415088692327672,0.028099712391286773,-0.08848062052859033,0.209357667905215
tx_satisfacao,tx_conversao,0.11717603910731825,0.0959262159976626,0.2122750637375871,0.002361816248753532
qt_jogadores_max,tx_conversao,0.11641302065261079,0.09812418693681364,0.1486382956689262,0.034305431611066896
nota_media,qt_avaliacoes,-0.1089812809302485,0.12167782439301274,-0.15200832481646787,0.030387057440202477
qt_jogadores_min,nota_media,-0.09270690341288548,0.18832566217617921,-0.08792019885836977,0.2122686337340207
qt_jogadores_max,idade_minima,-0.07991188113875736,0.2570665890559328,-0.02142778130620256,0.7615481128238706
qt_jogadores_max,tx_satisfacao,-0.061943704046095276,0.3799678996499308,-0.10942788117134879,0.12014854789167803
qt_jogadores_min,qt_avaliacoes,0.06193251110393293,0.38005416706234557,0.04443974781617011,0.5289758510499568
idade_minima,tx_conversao,-0.05500895717516237,0.43568074577475224,-0.09540471819754291,0.17573490842029837
qt_avaliacoes,idade_minima,-0.05020544147032273,0.4768679947026385,0.03525695435446553,0.617506359991556
qt_jogadores_max,vl_tempo_jogo,-0.04125929588321701,0.5589018914645972,-0.13123316259293658,0.061996871888816106
qt_jogadores_max,qt_avaliacoes,-0.03170271218407163,0.6534188622232666,0.050292832871755275,0.4761002468343901
qt_jogadores_min,tx_satisfacao,-0.027599501143069124,0.6958869950631883,0.07087768379062899,0.3149546518420153
qt_avaliacoes,vl_tempo_jogo,-0.0063704763648103,0.928123721909734,0.1788487856738462,0.010677311089618592
vl_tempo_jogo,tx_conversao,-0.0004972448657633403,0.9943822207287809,0.006204283803360158,0.9299939782783658
