ano,recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,meses_no_ano,ano_incompleto,salario_minimo_medio_ano,razao_medio_salario_minimo,var_anual_nominal_pct,var_anual_real_pct
2026,CNAE 56 - alimentação,Belém,513505,Auxiliar nos serviços de alimentação,860,1653.11,1621.0,1621.0,1680.0,1672.17,44.0,False,7,True,1621.0,1.02,5.89,2.21
2021,CNAE 56 - alimentação,Belém,514320,Faxineiro,157,1139.74,1100.0,1150.0,1154.02,1487.62,44.0,False,12,False,1100.0,1.036,,
2022,CNAE 56 - alimentação,Belém,514320,Faxineiro,289,1230.22,1212.0,1212.0,1239.5,1478.59,44.0,False,12,False,1212.0,1.015,7.94,-0.61
2023,CNAE 56 - alimentação,Belém,514320,Faxineiro,338,1338.65,1320.0,1320.0,1368.0,1536.62,44.0,False,12,False,1314.0,1.019,8.81,3.92
2024,CNAE 56 - alimentação,Belém,514320,Faxineiro,440,1431.79,1412.0,1412.0,1419.9,1577.58,44.0,False,12,False,1412.0,1.014,6.96,2.67
2025,CNAE 56 - alimentação,Belém,514320,Faxineiro,444,1550.16,1518.0,1519.5,1553.2,1625.66,44.0,False,12,False,1518.0,1.021,8.27,3.05
2026,CNAE 56 - alimentação,Belém,514320,Faxineiro,240,1641.9,1621.0,1621.0,1621.0,1662.52,44.0,False,7,True,1621.0,1.013,5.92,2.27
2021,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,82,1141.78,1100.0,1150.0,1154.03,1490.42,44.0,False,12,False,1100.0,1.038,,
2022,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,151,1239.11,1212.0,1213.8,1246.34,1488.28,44.0,False,12,False,1212.0,1.022,8.52,-0.14
2023,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,213,1352.26,1320.0,1320.0,1386.5,1550.99,44.0,False,12,False,1314.0,1.029,9.13,4.21
2024,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,286,1436.15,1412.0,1412.0,1419.4,1583.71,44.0,False,12,False,1412.0,1.017,6.2,2.11
2025,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,305,1546.81,1518.0,1518.0,1553.2,1621.15,44.0,False,12,False,1518.0,1.019,7.71,2.36
2026,CNAE 56 - alimentação,Belém,521140,Atendente de lojas e mercados,190,1640.4,1621.0,1621.0,1680.0,1659.08,44.0,False,7,True,1621.0,1.012,6.05,2.34
2021,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,9,1799.92,1500.0,1649.25,1800.0,2310.61,44.0,True,12,False,1100.0,1.636,,
2022,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,15,1951.73,1574.62,1800.0,2250.0,2351.46,44.0,True,12,False,1212.0,1.61,8.43,1.77
2023,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,9,1843.09,1800.0,2000.0,2000.0,2132.0,44.0,True,12,False,1314.0,1.403,-5.57,-9.33
2024,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,13,1737.6,1478.4,1500.0,1817.64,1916.38,44.0,True,12,False,1412.0,1.231,-5.72,-10.11
2025,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,7,2144.78,1643.16,2150.0,2601.0,2246.04,44.0,True,12,False,1518.0,1.413,23.43,17.2
2026,CNAE 56 - alimentação,Boa Vista,141510,Gerente de restaurante,4,2280.25,2055.25,2250.0,2475.0,2301.12,44.0,True,7,True,1621.0,1.407,6.32,2.45
2021,CNAE 56 - alimentação,Boa Vista,141515,Gerente de bar,2,2177.4,2088.7,2177.4,2266.1,2808.13,43.855000000000004,True,12,False,1100.0,1.979,,
