tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Classes de rendimento total e variação patrimonial mensal familiar,Tipos de despesa,valor_original,valor
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,21,Maranhão,2018,Total,3 Alimentação fora do domicílio,106.89,106.89
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,22,Piauí,2018,Total,3 Alimentação fora do domicílio,238.93,238.93
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,23,Ceará,2018,Total,3 Alimentação fora do domicílio,147.73,147.73
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,24,Rio Grande do Norte,2018,Total,3 Alimentação fora do domicílio,299.64,299.64
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,25,Paraíba,2018,Total,3 Alimentação fora do domicílio,124.85,124.85
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,26,Pernambuco,2018,Total,3 Alimentação fora do domicílio,185.09,185.09
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,27,Alagoas,2018,Total,3 Alimentação fora do domicílio,78.77,78.77
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,28,Sergipe,2018,Total,3 Alimentação fora do domicílio,383.15,383.15
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,29,Bahia,2018,Total,3 Alimentação fora do domicílio,226.13,226.13
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,31,Minas Gerais,2018,Total,3 Alimentação fora do domicílio,267.33,267.33
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,32,Espírito Santo,2018,Total,3 Alimentação fora do domicílio,145.85,145.85
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,33,Rio de Janeiro,2018,Total,3 Alimentação fora do domicílio,182.89,182.89
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,35,São Paulo,2018,Total,3 Alimentação fora do domicílio,251.80,251.8
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,41,Paraná,2018,Total,3 Alimentação fora do domicílio,193.66,193.66
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,42,Santa Catarina,2018,Total,3 Alimentação fora do domicílio,192.59,192.59
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,43,Rio Grande do Sul,2018,Total,3 Alimentação fora do domicílio,249.69,249.69
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,50,Mato Grosso do Sul,2018,Total,3 Alimentação fora do domicílio,342.50,342.5
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,51,Mato Grosso,2018,Total,3 Alimentação fora do domicílio,272.75,272.75
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,52,Goiás,2018,Total,3 Alimentação fora do domicílio,222.53,222.53
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,53,Distrito Federal,2018,Total,3 Alimentação fora do domicílio,355.80,355.8
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Brasil,1,Brasil,2018,Total,3.1 Almoço e jantar,145.97,145.97
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,11,Rondônia,2018,Total,3.1 Almoço e jantar,72.93,72.93
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,12,Acre,2018,Total,3.1 Almoço e jantar,114.04,114.04
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,13,Amazonas,2018,Total,3.1 Almoço e jantar,73.20,73.2
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,14,Roraima,2018,Total,3.1 Almoço e jantar,53.68,53.68
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,15,Pará,2018,Total,3.1 Almoço e jantar,79.79,79.79
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,16,Amapá,2018,Total,3.1 Almoço e jantar,115.55,115.55
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,17,Tocantins,2018,Total,3.1 Almoço e jantar,34.56,34.56
