id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
31173,2022,8.86,8.55,422
5033,2014,8.86,7.71,74
63148,2023,8.86,7.31,42
35919,2022,8.86,6.82,20
30978,2024,8.86,8.44,290
37434,2022,8.86,8.53,385
44754,2024,8.86,7.8,85
22457,2022,8.86,7.7,73
32558,2021,8.86,7.0,27
66730,2024,8.86,7.58,62
18756,2019,8.85,8.56,452
9402,2017,8.85,7.55,60
78509,2025,8.85,7.6,64
77068,2026,8.85,7.99,117
34534,2021,8.85,8.31,217
15490,2018,8.85,8.7,895
13572,2017,8.85,7.45,52
11425,2016,8.85,8.72,1103
60936,2024,8.85,7.17,35
1222,2011,8.85,7.75,80
22653,2019,8.84,6.95,25
26322,2020,8.84,7.34,45
77468,2025,8.84,8.35,238
10168,2016,8.84,8.76,1555
10343,2016,8.84,7.23,38
6257,2014,8.84,8.25,192
2138,2013,8.83,6.81,20
503,2005,8.83,8.73,1369
6704,2015,8.83,6.92,24
20418,2019,8.83,8.78,3029
44277,2023,8.83,6.92,24
48,2002,8.83,8.8,3662
63782,2023,8.83,6.99,27
15425,2018,8.83,6.97,26
50702,2025,8.83,7.22,38
23515,2021,8.82,8.68,949
35979,2022,8.82,7.06,30
24244,2021,8.82,7.18,36
52991,2023,8.82,6.78,19
37047,2022,8.82,8.71,1264
19261,2022,8.82,7.7,76
21033,2018,8.81,7.63,69
67188,2024,8.81,6.98,27
18420,2018,8.81,7.6,66
26632,2023,8.81,8.48,386
22750,2019,8.81,8.34,250
9028,2016,8.8,6.96,26
8766,2014,8.8,6.93,25
170,2011,8.8,8.6,675
18993,2019,8.79,8.62,765
23136,2025,8.79,7.95,117
26282,2016,8.79,7.37,48
51377,2023,8.78,8.63,906
69095,2025,8.78,7.09,32
25895,2020,8.78,8.69,1429
7038,2015,8.78,8.5,446
35051,2022,8.78,8.51,465
22473,2019,8.78,8.01,130
31217,2023,8.78,6.88,23
16788,2018,8.77,8.71,2138
35743,2023,8.77,7.51,60
8627,2015,8.77,8.64,951
540,2006,8.77,6.87,23
31237,2022,8.77,8.51,478
54747,2024,8.76,8.24,212
11112,2016,8.76,8.7,2227
80859,2025,8.76,7.42,53
67183,2024,8.76,6.97,27
27957,2021,8.76,8.38,315
7231,2015,8.76,8.59,765
39885,2022,8.76,6.84,22
8201,2017,8.76,8.36,294
57677,2024,8.75,7.46,57
6764,2016,8.75,8.69,2448
5058,2014,8.75,8.68,2029
66640,2024,8.75,7.11,34
66495,2026,8.75,8.12,170
38119,2022,8.75,6.94,26
80863,2026,8.74,7.33,47
25051,2020,8.74,8.2,205
33831,2022,8.74,7.96,126
