tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Atividades de serviços,valor_original,valor
10758,1557,Consumo intermediário - prêmios de seguros,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,178697,178697.0
10758,1557,Consumo intermediário - prêmios de seguros,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",63110,63110.0
10758,1558,Consumo intermediário - serviços de comunicação,Mil Reais,Brasil,1,Brasil,2024,1. Total,12954582,12954582.0
10758,1558,Consumo intermediário - serviços de comunicação,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,703107,703107.0
10758,1558,Consumo intermediário - serviços de comunicação,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",123672,123672.0
10758,1559,"Consumo intermediário - energia elétrica, gás, água e esgoto",Mil Reais,Brasil,1,Brasil,2024,1. Total,29930326,29930326.0
10758,1559,"Consumo intermediário - energia elétrica, gás, água e esgoto",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,5717397,5717397.0
10758,1559,"Consumo intermediário - energia elétrica, gás, água e esgoto",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1158832,1158832.0
10758,1560,Consumo intermediário - outros custos e despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,486162672,486162672.0
10758,1560,Consumo intermediário - outros custos e despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,21324430,21324430.0
10758,1560,Consumo intermediário - outros custos e despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",3198442,3198442.0
10758,856,Gastos com pessoal - total,Mil Reais,Brasil,1,Brasil,2024,1. Total,930648146,930648146.0
10758,856,Gastos com pessoal - total,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,64697891,64697891.0
10758,856,Gastos com pessoal - total,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",8033105,8033105.0
10758,859,Gastos com pessoal - contribuições para a previdência social,Mil Reais,Brasil,1,Brasil,2024,1. Total,91466684,91466684.0
10758,859,Gastos com pessoal - contribuições para a previdência social,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4809689,4809689.0
10758,859,Gastos com pessoal - contribuições para a previdência social,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",523498,523498.0
10758,860,Gastos com pessoal - FGTS,Mil Reais,Brasil,1,Brasil,2024,1. Total,45595045,45595045.0
10758,860,Gastos com pessoal - FGTS,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,3712750,3712750.0
10758,860,Gastos com pessoal - FGTS,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",395575,395575.0
10758,858,Gastos com pessoal - contribuições para a previdência privada,Mil Reais,Brasil,1,Brasil,2024,1. Total,4684448,4684448.0
10758,858,Gastos com pessoal - contribuições para a previdência privada,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,176268,176268.0
10758,858,Gastos com pessoal - contribuições para a previdência privada,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",31042,31042.0
10758,861,Gastos com pessoal - indenizações trabalhistas,Mil Reais,Brasil,1,Brasil,2024,1. Total,24180293,24180293.0
10758,861,Gastos com pessoal - indenizações trabalhistas,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2342549,2342549.0
10758,861,Gastos com pessoal - indenizações trabalhistas,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",243837,243837.0
10758,862,Gastos com pessoal - benefícios concedidos aos empregados,Mil Reais,Brasil,1,Brasil,2024,1. Total,120344088,120344088.0
10758,862,Gastos com pessoal - benefícios concedidos aos empregados,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4535281,4535281.0
