tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Serviços prestados às famílias,valor_original,valor
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",2078655,2078655.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,"1.3 Atividades culturais, recreativas e esportivas",2466310,2466310.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,"1.3 Atividades culturais, recreativas e esportivas",3181263,3181263.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,"1.3 Atividades culturais, recreativas e esportivas",4127969,4127969.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,2.2 Serviços de alimentação,15928539,15928539.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,2.2 Serviços de alimentação,11348528,11348528.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,2.2 Serviços de alimentação,13319726,13319726.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,2.2 Serviços de alimentação,17272966,17272966.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,2.2 Serviços de alimentação,21332739,21332739.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,11135397,11135397.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,7483890,7483890.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,8762394,8762394.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,11604150,11604150.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,14112331,14112331.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,"2.3 Atividades culturais, recreativas e esportivas",1531852,1531852.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,"2.3 Atividades culturais, recreativas e esportivas",1006089,1006089.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,"2.3 Atividades culturais, recreativas e esportivas",1301458,1301458.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,"2.3 Atividades culturais, recreativas e esportivas",1761211,1761211.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,"2.3 Atividades culturais, recreativas e esportivas",2201128,2201128.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,1. Total,759360,759360.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,1. Total,490803,490803.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,1. Total,770590,770590.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,1. Total,977659,977659.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,1. Total,1119406,1119406.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,1.2 Serviços de alimentação,317054,317054.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,1.2 Serviços de alimentação,186534,186534.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,1.2 Serviços de alimentação,410547,410547.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,1.2 Serviços de alimentação,449473,449473.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,1.2 Serviços de alimentação,560373,560373.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,"1.3 Atividades culturais, recreativas e esportivas",271200,271200.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",35717,35717.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,"1.3 Atividades culturais, recreativas e esportivas",154815,154815.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,"1.3 Atividades culturais, recreativas e esportivas",135804,135804.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,"1.3 Atividades culturais, recreativas e esportivas",150336,150336.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,2.2 Serviços de alimentação,314226,314226.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,2.2 Serviços de alimentação,150727,150727.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,2.2 Serviços de alimentação,213814,213814.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,2.2 Serviços de alimentação,350209,350209.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,2.2 Serviços de alimentação,366617,366617.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,199446,199446.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,82448,82448.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,131238,131238.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,263801,263801.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,266105,266105.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2019,"2.3 Atividades culturais, recreativas e esportivas",230674,230674.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2020,"2.3 Atividades culturais, recreativas e esportivas",20107,20107.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2021,"2.3 Atividades culturais, recreativas e esportivas",14934,14934.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2022,"2.3 Atividades culturais, recreativas e esportivas",32840,32840.0
2618,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2023,"2.3 Atividades culturais, recreativas e esportivas",42027,42027.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,1. Total,32821,32821.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,1. Total,69744,69744.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,1. Total,36068,36068.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,1. Total,42904,42904.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,1. Total,71061,71061.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,1.2 Serviços de alimentação,1780,1780.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,1.2 Serviços de alimentação,2171,2171.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,1.2 Serviços de alimentação,18198,18198.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,1.2 Serviços de alimentação,27742,27742.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,1.2 Serviços de alimentação,37101,37101.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,"1.3 Atividades culturais, recreativas e esportivas",5782,5782.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",25392,25392.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,"1.3 Atividades culturais, recreativas e esportivas",5678,5678.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,"1.3 Atividades culturais, recreativas e esportivas",3666,3666.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,"1.3 Atividades culturais, recreativas e esportivas",1946,1946.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,2.2 Serviços de alimentação,1203,1203.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,2.2 Serviços de alimentação,2149,2149.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,2.2 Serviços de alimentação,4931,4931.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,2.2 Serviços de alimentação,8241,8241.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,2.2 Serviços de alimentação,5281,5281.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,1057,1057.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,1624,1624.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,2349,2349.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,5384,5384.0
