cidade,data,venda_indice,venda_var_mensal_pct,venda_var_12m_pct,venda_preco_m2,locacao_indice,locacao_var_mensal_pct,locacao_var_12m_pct,locacao_preco_m2,rentabilidade_aluguel_mensal_pct
São Paulo,2012-01-01,85.67528852193071,,,9073.070393234939,97.14127333728379,,,46.37766584814031,0.5757213433197632
São Paulo,2012-02-01,86.84729553567597,1.367963894799439,,9197.18672036413,99.68962108691491,2.623341924686342,,47.594310600025516,0.5814682812512401
São Paulo,2012-03-01,88.001514173712,1.3290208185721633,,9319.419246600724,102.3206311340398,2.639201572279055,,48.850420393696766,0.5859751640641657
São Paulo,2012-04-01,89.19056785945423,1.3511741211578367,,9445.340827702996,104.73513141197002,2.359739430034628,,50.0031630254645,0.588628825466364
São Paulo,2012-05-01,89.91234935259041,0.8092576496133035,,9521.77797088323,105.96612981661343,1.1753443071564522,,50.59087235548246,0.5905473152665904
São Paulo,2012-06-01,91.17354932943869,1.4026993910508223,,9655.33989249802,106.55192209528552,0.5528108648356402,,50.870544194478704,0.5874177328525975
São Paulo,2012-07-01,92.20561275705339,1.131976801611091,,9764.6361001978,107.45080253592876,0.8436079077385367,,51.29969212801295,0.5884174478751137
São Paulo,2012-08-01,92.99863069787845,0.8600538699466557,,9848.61723086376,107.55749899149323,0.09929796059810325,,51.35063167608918,0.587058929534148
São Paulo,2012-09-01,93.24793321316686,0.26807116773396367,,9875.018534080185,107.40364027974266,-0.14304787038860528,,51.277175691045436,0.5852000867686715
São Paulo,2012-10-01,93.55918286350273,0.33378718392003853,,9907.980080356674,107.1568700596148,-0.22975964267609983,,51.15936143540329,0.581753035980965
São Paulo,2012-11-01,94.32559431019293,0.8191728735044174,,9989.143565487177,106.47872351122811,-0.6328540092757664,,50.83559736543946,0.5733094809994024
São Paulo,2012-12-01,95.07772799711931,0.7973802788381713,,10068.795026303203,106.88167694997759,0.37843563996799806,,51.02797738366092,0.5706806116194041
São Paulo,2013-01-01,95.948573114009,0.9159296664262708,11.990954182136871,10161.018107000767,107.00297645584362,0.11348952348755595,10.151918725956023,51.08588879203897,0.5655771222140129
São Paulo,2013-02-01,96.65525182185176,0.7365182043958796,11.293335302705865,10235.855855110789,108.02888744524668,0.9587686468015407,8.365230269118129,51.57568427671694,0.5645327176327165
São Paulo,2013-03-01,97.66450971754385,1.0441831940516706,10.980487818377105,10342.736941717209,108.19846560909544,0.15697483132436088,5.7445252339732855,51.6566451201147,0.5609194035605277
São Paulo,2013-04-01,98.79262655912623,1.1550939485029104,10.765778187221375,10462.205270240558,108.1814752229994,-0.01570298247797791,3.2905327606582935,51.64853348618278,0.5573930778010445
São Paulo,2013-05-01,99.71010912722983,0.9286953895840394,10.89701230719442,10559.367288234102,108.00028419214911,-0.16748803848051103,1.9196269402836696,51.56202837054282,0.5525348482980689
São Paulo,2013-06-01,100.01803390133725,0.308820015144613,9.70071324078945,10591.976727892801,108.14687133965673,0.1357284831276991,1.4968751506377442,51.632012729520035,0.5493656442742811
São Paulo,2013-07-01,99.72533041628057,-0.2926507087165987,8.155379520160455,10560.979232931524,108.6105090135749,0.42871112975798764,1.0792906616573283,51.85336491460956,0.5485695105284141
São Paulo,2013-08-01,99.70567429382349,-0.019710260547679766,7.211981021241032,10558.897636408326,108.12953348972951,-0.4428443694940033,0.5318406467237802,51.623735207692036,0.5463109741629695
São Paulo,2013-09-01,99.97368886769577,0.2688057382596442,7.212766463309905,10587.280559151954,107.52377299513752,-0.5602174309292863,0.11185162354083733,51.33453004456177,0.5425106739325489
São Paulo,2013-10-01,100.21125946418834,0.2376331204573026,7.110019986376548,10612.439444316236,107.14301714835804,-0.3541131753223409,-0.012927693062569912,51.152747710184165,0.5412691731316575
São Paulo,2013-11-01,100.64615211541178,0.4339758361971653,6.700787682750753,10658.494867135627,107.66236915826076,0.48472781869078807,1.1116264432939449,51.40069930836013,0.5409231460720467
São Paulo,2013-12-01,100.97622699695494,0.3279557882795701,6.203870374368159,10693.45001799588,108.27033115707926,0.5646931268294887,1.2992444044001905,51.69095552449674,0.5416927032006026
São Paulo,2014-01-01,101.5541979634438,0.5723832070951707,5.842322264421829,10754.657530158001,108.90798925420054,0.5889499831640481,1.780336268629923,51.9953893983556,0.5387934998841343
São Paulo,2014-02-01,102.01546557120263,0.454208311432743,5.545703568421123,10803.506078526107,109.37665516913938,0.43033198771574527,1.2475993743578995,52.21914219107408,0.5379117050594984
São Paulo,2014-03-01,102.56097305545747,0.5347301815469293,5.01355441405964,10861.275686193243,109.73400563463682,0.3267154814204405,1.419188356227763,52.38975021287727,0.536832348517384
São Paulo,2014-04-01,103.24454309403627,0.6665011243693927,4.506324702527897,10933.66621076258,109.30879280893811,-0.3874941256719204,1.0420615762679608,52.186743008348174,0.5313571095369494
São Paulo,2014-05-01,103.64838322054588,0.39114912460000417,3.949723982641351,10976.433150432666,108.97780950118882,-0.3027965996549065,0.9051136451646125,52.02872332504825,0.5281686197415788
São Paulo,2014-06-01,104.3520130156497,0.6788622969705318,4.333197669719957,11050.948016643128,109.78382673664919,0.7396159265355521,1.513641011260769,52.41353604913343,0.5295885370397706
São Paulo,2014-07-01,104.21176151874641,-0.13440229167620799,4.4987879044754875,11036.095289256813,110.75147966002714,0.8814166459137638,1.9712370984143357,52.875517680582504,0.5365712854155276
São Paulo,2014-08-01,103.7175541698213,-0.47423375415856295,4.023722726326651,10983.758400254055,110.30865253624039,-0.39983856210869423,2.0152857190656848,52.66410097098094,0.537760739274946
São Paulo,2014-09-01,103.02463954395023,-0.6680784476816035,3.0517536271889023,10910.37827763654,109.44913805512559,-0.7791904454933155,1.7906412752788592,52.25374732801011,0.535733588081237
São Paulo,2014-10-01,103.01629853271811,-0.008096132409717781,2.7991256506781914,10909.494958964782,108.67147794471722,-0.7105219138561744,1.4265612795304916,51.882473002433564,0.5302984507236551
São Paulo,2014-11-01,103.68587662369052,0.6499729659377624,3.0202093615989023,10980.403726918395,109.79675551031896,1.0354856553751683,1.982481315194451,52.41970856802765,0.5302894109741721
São Paulo,2014-12-01,104.32057092995122,0.6121318803757676,3.3120111856597134,11047.618278724833,110.72537208933018,0.8457595806862845,2.2675103197838498,52.86305327540958,0.5320323109241532
São Paulo,2015-01-01,105.05575881740594,0.7047391333281531,3.4479725350424095,11125.47516803572,111.91678479719653,1.0760069579221119,2.7626949717832083,53.43186340682306,0.5324412440387145
