tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
6579,9324,População residente estimada,Pessoas,Município,3304557,Rio de Janeiro (RJ),2025,6730729,6730729.0
6579,9324,População residente estimada,Pessoas,Município,3304557,Rio de Janeiro (RJ),2026,6731133,6731133.0
6579,9324,População residente estimada,Pessoas,Município,2408102,Natal (RN),2024,785368,785368.0
6579,9324,População residente estimada,Pessoas,Município,2408102,Natal (RN),2025,784249,784249.0
6579,9324,População residente estimada,Pessoas,Município,2408102,Natal (RN),2026,783196,783196.0
6579,9324,População residente estimada,Pessoas,Município,4314902,Porto Alegre (RS),2024,1389322,1389322.0
6579,9324,População residente estimada,Pessoas,Município,4314902,Porto Alegre (RS),2025,1388794,1388794.0
6579,9324,População residente estimada,Pessoas,Município,4314902,Porto Alegre (RS),2026,1388791,1388791.0
6579,9324,População residente estimada,Pessoas,Município,1100205,Porto Velho (RO),2024,514873,514873.0
6579,9324,População residente estimada,Pessoas,Município,1100205,Porto Velho (RO),2025,517709,517709.0
6579,9324,População residente estimada,Pessoas,Município,1100205,Porto Velho (RO),2026,520379,520379.0
6579,9324,População residente estimada,Pessoas,Município,1400100,Boa Vista (RR),2024,470169,470169.0
6579,9324,População residente estimada,Pessoas,Município,1400100,Boa Vista (RR),2025,485477,485477.0
6579,9324,População residente estimada,Pessoas,Município,1400100,Boa Vista (RR),2026,500965,500965.0
6579,9324,População residente estimada,Pessoas,Município,4205407,Florianópolis (SC),2024,576361,576361.0
6579,9324,População residente estimada,Pessoas,Município,4205407,Florianópolis (SC),2025,587486,587486.0
6579,9324,População residente estimada,Pessoas,Município,4205407,Florianópolis (SC),2026,598370,598370.0
6579,9324,População residente estimada,Pessoas,Município,3550308,São Paulo (SP),2024,11895578,11895578.0
6579,9324,População residente estimada,Pessoas,Município,3550308,São Paulo (SP),2025,11904961,11904961.0
6579,9324,População residente estimada,Pessoas,Município,3550308,São Paulo (SP),2026,11911337,11911337.0
6579,9324,População residente estimada,Pessoas,Município,2800308,Aracaju (SE),2024,628849,628849.0
6579,9324,População residente estimada,Pessoas,Município,2800308,Aracaju (SE),2025,621408,621408.0
6579,9324,População residente estimada,Pessoas,Município,2800308,Aracaju (SE),2026,623328,623328.0
6579,9324,População residente estimada,Pessoas,Município,1721000,Palmas (TO),2024,323625,323625.0
6579,9324,População residente estimada,Pessoas,Município,1721000,Palmas (TO),2025,328499,328499.0
6579,9324,População residente estimada,Pessoas,Município,1721000,Palmas (TO),2026,333154,333154.0
