tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,14 a 17 anos,82914,82914.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,14 a 17 anos,73591,73591.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,14 a 17 anos,48900,48900.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,14 a 17 anos,286495,286495.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,14 a 17 anos,39695,39695.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,14 a 17 anos,58452,58452.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,14 a 17 anos,28667,28667.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,14 a 17 anos,28147,28147.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,14 a 17 anos,21754,21754.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,14 a 17 anos,556645,556645.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,14 a 17 anos,31336,31336.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,14 a 17 anos,18547,18547.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,18 a 24 anos,21201468,21201468.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,18 a 24 anos,45579,45579.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,18 a 24 anos,108246,108246.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,18 a 24 anos,58100,58100.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,18 a 24 anos,255141,255141.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,18 a 24 anos,241207,241207.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,18 a 24 anos,257428,257428.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,18 a 24 anos,314213,314213.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,18 a 24 anos,30725,30725.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,18 a 24 anos,152758,152758.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,18 a 24 anos,122648,122648.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,18 a 24 anos,67692,67692.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,18 a 24 anos,89143,89143.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,18 a 24 anos,226013,226013.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,18 a 24 anos,141357,141357.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,18 a 24 anos,87586,87586.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,18 a 24 anos,175207,175207.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,18 a 24 anos,148130,148130.0
