nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
Estudiosos do Sul do Tigre,7.84,8.65,113,https://ludopedia.com.br/jogo/-scholars-of-the-south-tigris,-scholars-of-the-south-tigris
Everdell Farshore,7.83,8.43,154,https://ludopedia.com.br/jogo/everdell-farshore,everdell-farshore
Chicago 1875: City of the Big Shoulders,7.83,8.54,130,https://ludopedia.com.br/jogo/-chicago-1875-city-of-the-big-shoulders,-chicago-1875-city-of-the-big-shoulders
Lewis & Clark: A Expedição,7.83,8.03,467,https://ludopedia.com.br/jogo/lewis-clark-the-expedition,lewis-clark-the-expedition
The King is Dead (2nd Edition),7.83,8.19,258,https://ludopedia.com.br/jogo/the-king-is-dead-2nd-edition,the-king-is-dead-2nd-edition
Luna,7.83,8.03,457,https://ludopedia.com.br/jogo/luna,luna
Dice Throne: Season One ReRolled - Monge x Paladino,7.82,8.39,162,https://ludopedia.com.br/jogo/dice-throne-season-one-rerolled-monk-v-paladin,dice-throne-season-one-rerolled-monk-v-paladin
Colt Express,7.82,7.9,1134,https://ludopedia.com.br/jogo/colt-express,colt-express
World of Warcraft: Wrath of the Lich King,7.82,8.21,236,https://ludopedia.com.br/jogo/world-of-warcraft-wrath-of-the-lich-king,world-of-warcraft-wrath-of-the-lich-king
Terraforming Mars: o Jogo de Dados,7.82,8.15,280,https://ludopedia.com.br/jogo/terraforming-mars-the-dice-game,terraforming-mars-the-dice-game
Orloj: The Prague Astronomical Clock,7.82,8.93,82,https://ludopedia.com.br/jogo/orloj-the-prague-astronomical-clock,orloj-the-prague-astronomical-clock
Mysterium,7.82,7.87,1716,https://ludopedia.com.br/jogo/mysterium,mysterium
Kariba,7.82,7.88,1563,https://ludopedia.com.br/jogo/kariba,kariba
Reinos Oníricos de Lovecraft,7.82,9.64,50,https://ludopedia.com.br/jogo/reinos-oniricos-de-lovecraft,reinos-oniricos-de-lovecraft
Zombicide 2ª Temporada: Prison Outbreak,7.82,7.91,1022,https://ludopedia.com.br/jogo/zombicide-season-2-prison-outbreak,zombicide-season-2-prison-outbreak
Go,7.82,8.33,178,https://ludopedia.com.br/jogo/go,go
King of Tokyo: Monster Box,7.82,8.44,145,https://ludopedia.com.br/jogo/king-of-tokyo-monster-box,king-of-tokyo-monster-box
Hadara,7.82,8.07,364,https://ludopedia.com.br/jogo/hadara,hadara
Radlands,7.82,8.15,273,https://ludopedia.com.br/jogo/radlands,radlands
Golem,7.81,8.21,229,https://ludopedia.com.br/jogo/golem,golem
Stupor Mundi,7.81,8.5,132,https://ludopedia.com.br/jogo/stupor-mundi,stupor-mundi
Invocathlon,7.81,9.55,52,https://ludopedia.com.br/jogo/invocathlon,invocathlon
Gears of War: The Board Game,7.81,8.19,240,https://ludopedia.com.br/jogo/gears-of-war-the-board-game,gears-of-war-the-board-game
Kingdom Builder: Big Box (Segunda Edição),7.81,8.29,188,https://ludopedia.com.br/jogo/kingdom-builder-big-box-second-edition,kingdom-builder-big-box-second-edition
Dice Forge,7.81,7.92,797,https://ludopedia.com.br/jogo/dice-forge,dice-forge
Carnavalesco,7.81,8.19,238,https://ludopedia.com.br/jogo/carnavalesco,carnavalesco
Witchstone,7.81,8.14,272,https://ludopedia.com.br/jogo/witchstone,witchstone
Coffee Traders,7.81,8.65,108,https://ludopedia.com.br/jogo/coffee-traders,coffee-traders
Magical Athlete (I),7.81,8.25,203,https://ludopedia.com.br/jogo/magical-athlete-i,magical-athlete-i
Star Wars: Battle of Hoth,7.81,8.66,106,https://ludopedia.com.br/jogo/star-wars-battle-of-hoth,star-wars-battle-of-hoth
The Gang,7.81,8.21,226,https://ludopedia.com.br/jogo/the-gang,the-gang
Targi,7.81,8.2,229,https://ludopedia.com.br/jogo/targi,targi
Caylus 1303,7.81,8.1,312,https://ludopedia.com.br/jogo/caylus-1303,caylus-1303
Bloodborne: The Card Game,7.81,7.97,546,https://ludopedia.com.br/jogo/bloodborne-the-card-game,bloodborne-the-card-game
Clank! In! Space!: A Deck-Building Adventure,7.81,8.63,110,https://ludopedia.com.br/jogo/clank-in-space-a-deck-building-adventure,clank-in-space-a-deck-building-adventure
Cleopatra and the Society of Architects: Deluxe Edition,7.8,8.2,229,https://ludopedia.com.br/jogo/cleopatra-and-the-society-of-architects-deluxe-edition,cleopatra-and-the-society-of-architects-deluxe-edition
Seas of Strife,7.8,8.28,186,https://ludopedia.com.br/jogo/seas-of-strife,seas-of-strife
Santuário,7.8,8.58,115,https://ludopedia.com.br/jogo/sanctuary-i,sanctuary-i
Marvel United: Multiverse,7.8,8.86,85,https://ludopedia.com.br/jogo/marvel-united-multiverse,marvel-united-multiverse
Dice Throne: Season One ReRolled - Bárbaro x Elfa da Lua,7.8,8.32,174,https://ludopedia.com.br/jogo/dice-throne-season-one-rerolled-barbarian-v-moon-elf,dice-throne-season-one-rerolled-barbarian-v-moon-elf
Abyss,7.8,7.89,934,https://ludopedia.com.br/jogo/abyss,abyss
Dungeon Fighter (2ª Edição),7.79,8.24,201,https://ludopedia.com.br/jogo/dungeon-fighter-second-edition,dungeon-fighter-second-edition
Drag Slay - Edição Rupaul's DragCon Brasil 2026,7.79,9.37,57,https://ludopedia.com.br/jogo/drag-slay-edicao-rupaul-s-dragcon-brasil-2026,drag-slay-edicao-rupaul-s-dragcon-brasil-2026
Bruges,7.79,8.28,185,https://ludopedia.com.br/jogo/bruges,bruges
Heaven & Ale,7.79,8.23,207,https://ludopedia.com.br/jogo/heaven-ale,heaven-ale
Vast: As Cavernas de Cristal,7.79,8.12,276,https://ludopedia.com.br/jogo/vast-the-crystal-caverns,vast-the-crystal-caverns
Dominant Species: Marine,7.79,8.68,101,https://ludopedia.com.br/jogo/dominant-species-marine,dominant-species-marine
Conquistadores da Matemática,7.79,9.17,65,https://ludopedia.com.br/jogo/conquistadores-da-matematica,conquistadores-da-matematica
Flamme Rouge,7.79,7.93,627,https://ludopedia.com.br/jogo/flamme-rouge,flamme-rouge
As Lendas de Andor,7.79,7.9,841,https://ludopedia.com.br/jogo/legends-of-andor,legends-of-andor
Space Cantina,7.79,7.91,758,https://ludopedia.com.br/jogo/space-cantina,space-cantina
PARKS,7.79,8.18,227,https://ludopedia.com.br/jogo/parks,parks
Sentando a Pua,7.79,9.27,60,https://ludopedia.com.br/jogo/sentando-a-pua,sentando-a-pua
Antiquity,7.78,8.68,99,https://ludopedia.com.br/jogo/antiquity,antiquity
Star Wars: Legion,7.78,8.56,115,https://ludopedia.com.br/jogo/star-wars-legion,star-wars-legion
Battle for Rokugan,7.78,8.02,367,https://ludopedia.com.br/jogo/battle-for-rokugan,battle-for-rokugan
Coatl,7.78,7.98,441,https://ludopedia.com.br/jogo/coatl,coatl
Arte Moderna,7.78,7.89,772,https://ludopedia.com.br/jogo/modern-art,modern-art
Welcome To: Seu Lar Perfeito,7.78,7.94,557,https://ludopedia.com.br/jogo/welcome-to,welcome-to
Stella: Universo Dixit,7.78,8.02,370,https://ludopedia.com.br/jogo/stella-dixit-universe,stella-dixit-universe
Chaos in the Old World,7.78,8.15,240,https://ludopedia.com.br/jogo/chaos-in-the-old-world,chaos-in-the-old-world
Rallyman: GT,7.78,7.95,523,https://ludopedia.com.br/jogo/rallyman-gt,rallyman-gt
Kanagawa,7.78,7.93,562,https://ludopedia.com.br/jogo/kanagawa,kanagawa
Muralha de Adriano,7.78,8.33,159,https://ludopedia.com.br/jogo/hadrian-s-wall,hadrian-s-wall
Escape Plan,7.77,8.32,161,https://ludopedia.com.br/jogo/escape-plan,escape-plan
Indonesia,7.77,8.63,103,https://ludopedia.com.br/jogo/indonesia,indonesia
Evergreen,7.77,8.12,253,https://ludopedia.com.br/jogo/evergreen,evergreen
Fliptown,7.77,8.25,184,https://ludopedia.com.br/jogo/fliptown,fliptown
Cuzco,7.77,8.06,303,https://ludopedia.com.br/jogo/cuzco,cuzco
Saboteur,7.77,7.79,3383,https://ludopedia.com.br/jogo/saboteur,saboteur
Draftosaurus,7.77,7.86,976,https://ludopedia.com.br/jogo/draftosaurus,draftosaurus
Amerigo,7.77,8.41,138,https://ludopedia.com.br/jogo/amerigo,amerigo
Nova Luna,7.77,7.97,438,https://ludopedia.com.br/jogo/nova-luna,nova-luna
Sid Meier's Civilization: The Board Game,7.77,8.13,244,https://ludopedia.com.br/jogo/sid-meier-s-civilization-the-board-game,sid-meier-s-civilization-the-board-game
Maskmen,7.76,8.03,332,https://ludopedia.com.br/jogo/maskmen,maskmen
Citadels: Segunda Edição Revisada,7.76,8.27,173,https://ludopedia.com.br/jogo/citadels-revised-2nd-edition,citadels-revised-2nd-edition
Pulsar 2849,7.76,8.07,285,https://ludopedia.com.br/jogo/pulsar-2849,pulsar-2849
Summoner Wars (2ª Edição),7.76,8.37,144,https://ludopedia.com.br/jogo/summoner-wars-second-edition,summoner-wars-second-edition
Quadropolis,7.76,8.01,354,https://ludopedia.com.br/jogo/quadropolis,quadropolis
Through the Ages: A Story of Civilization,7.76,8.32,158,https://ludopedia.com.br/jogo/through-the-ages-a-story-of-civilization,through-the-ages-a-story-of-civilization
Hive,7.76,7.9,604,https://ludopedia.com.br/jogo/hive,hive
Dragon Castle,7.76,7.91,589,https://ludopedia.com.br/jogo/dragon-castle,dragon-castle
Lancaster,7.76,8.22,191,https://ludopedia.com.br/jogo/lancaster,lancaster
Amun-Re,7.76,7.96,432,https://ludopedia.com.br/jogo/amun-re,amun-re
Optimus,7.76,8.07,282,https://ludopedia.com.br/jogo/that-s-pretty-clever,that-s-pretty-clever
Bang! Dice Game,7.76,7.8,1969,https://ludopedia.com.br/jogo/bang-the-dice-game,bang-the-dice-game
Sexta-Feira,7.75,8.01,342,https://ludopedia.com.br/jogo/friday,friday
Puerto Rico: Limited Anniversary Edition,7.75,8.85,80,https://ludopedia.com.br/jogo/puerto-rico-limited-anniversary-edition,puerto-rico-limited-anniversary-edition
That's Not a Hat,7.75,7.95,443,https://ludopedia.com.br/jogo/that-s-not-a-hat,that-s-not-a-hat
Come Sail Away!,7.75,8.41,133,https://ludopedia.com.br/jogo/come-sail-away,come-sail-away
Vale dos Moinhos,7.75,8.32,153,https://ludopedia.com.br/jogo/windmill-valley,windmill-valley
Dungeons & Dragons: The Legend of Drizzt Board Game,7.75,8.11,243,https://ludopedia.com.br/jogo/dungeons-dragons-the-legend-of-drizzt-board-game,dungeons-dragons-the-legend-of-drizzt-board-game
Too Many Bones,7.75,8.88,77,https://ludopedia.com.br/jogo/too-many-bones,too-many-bones
Breaking Bad: The Board Game,7.75,8.15,219,https://ludopedia.com.br/jogo/breaking-bad-the-board-game,breaking-bad-the-board-game
Fromage,7.75,8.31,156,https://ludopedia.com.br/jogo/fromage,fromage
Viajantes do Sul do Tigre,7.74,8.23,180,https://ludopedia.com.br/jogo/wayfarers-of-the-south-tigris,wayfarers-of-the-south-tigris
The Few and Cursed,7.74,8.07,261,https://ludopedia.com.br/jogo/the-few-and-cursed,the-few-and-cursed
Camel Up,7.74,7.83,950,https://ludopedia.com.br/jogo/camel-up,camel-up
Sid Meier's Civilization: Um Novo Amanhecer,7.74,7.93,460,https://ludopedia.com.br/jogo/sid-meier-s-civilization-a-new-dawn,sid-meier-s-civilization-a-new-dawn
Nidavellir,7.74,7.96,386,https://ludopedia.com.br/jogo/nidavellir,nidavellir
Histórias de Pescador,7.74,8.1,241,https://ludopedia.com.br/jogo/historias-de-pescador,historias-de-pescador
Gnomopolis,7.73,7.95,392,https://ludopedia.com.br/jogo/gnomopolis,gnomopolis
Akropolis,7.73,8.05,271,https://ludopedia.com.br/jogo/akropolis,akropolis
O Último Dado,7.73,9.15,61,https://ludopedia.com.br/jogo/o-ultimo-dado,o-ultimo-dado
Race! Formula 90,7.73,8.66,93,https://ludopedia.com.br/jogo/race-formula-90,race-formula-90
Istanbul: Jogo de Dados,7.73,8.05,274,https://ludopedia.com.br/jogo/istanbul-the-dice-game,istanbul-the-dice-game
Victorian Masterminds,7.73,7.93,439,https://ludopedia.com.br/jogo/victorian-masterminds,victorian-masterminds
Feya's Swamp,7.73,8.71,88,https://ludopedia.com.br/jogo/feya-s-swamp,feya-s-swamp
Terracotta Army,7.73,8.21,179,https://ludopedia.com.br/jogo/terracotta-army,terracotta-army
Paris,7.73,7.94,406,https://ludopedia.com.br/jogo/paris,paris
Gùgōng,7.73,7.98,344,https://ludopedia.com.br/jogo/gug-ng,gug-ng
High Frontier 4 All,7.73,8.72,87,https://ludopedia.com.br/jogo/high-frontier-4-all,high-frontier-4-all
Innovation,7.73,7.91,482,https://ludopedia.com.br/jogo/innovation,innovation
Lords of Xidit,7.73,8.03,284,https://ludopedia.com.br/jogo/lords-of-xidit,lords-of-xidit
Camisa 12,7.73,8.1,229,https://ludopedia.com.br/jogo/camisa-12,camisa-12
U-BOOT: The Board Game,7.72,8.2,183,https://ludopedia.com.br/jogo/uboot-the-board-game,uboot-the-board-game
Brian Boru: Alto Rei da Irlanda,7.72,8.1,232,https://ludopedia.com.br/jogo/brian-boru-high-king-of-ireland,brian-boru-high-king-of-ireland
Capitão Sonar,7.72,7.92,430,https://ludopedia.com.br/jogo/captain-sonar,captain-sonar
Panamax,7.72,8.29,150,https://ludopedia.com.br/jogo/panamax,panamax
Above and Below,7.72,7.88,528,https://ludopedia.com.br/jogo/above-and-below,above-and-below
Piratas de Maracaibo,7.72,8.31,146,https://ludopedia.com.br/jogo/pirates-of-maracaibo,pirates-of-maracaibo
Summoner Wars: Master Set,7.72,7.82,851,https://ludopedia.com.br/jogo/summoner-wars-master-set,summoner-wars-master-set
Roll Player,7.72,7.91,440,https://ludopedia.com.br/jogo/roll-player,roll-player
Roll for the Galaxy,7.72,8.01,293,https://ludopedia.com.br/jogo/roll-for-the-galaxy,roll-for-the-galaxy
MLEM: Space Agency,7.72,7.9,465,https://ludopedia.com.br/jogo/mlem-space-agency,mlem-space-agency
Under Falling Skies,7.72,8.13,207,https://ludopedia.com.br/jogo/under-falling-skies,under-falling-skies
Small World,7.72,7.77,1475,https://ludopedia.com.br/jogo/small-world,small-world
Living Forest,7.71,8.03,268,https://ludopedia.com.br/jogo/living-forest,living-forest
Dungeon Lords: Happy Anniversary,7.71,8.86,74,https://ludopedia.com.br/jogo/dungeon-lords-happy-anniversary,dungeon-lords-happy-anniversary
Stuffed Fables,7.71,8.11,211,https://ludopedia.com.br/jogo/stuffed-fables,stuffed-fables
Era: Idade Medieval,7.71,7.95,354,https://ludopedia.com.br/jogo/era-medieval-age,era-medieval-age
Dracula vs Van Helsing,7.71,8.26,155,https://ludopedia.com.br/jogo/dracula-vs-van-helsing,dracula-vs-van-helsing
The Oracle of Delphi,7.71,8.16,189,https://ludopedia.com.br/jogo/the-oracle-of-delphi,the-oracle-of-delphi
3 Ring Circus,7.7,8.16,186,https://ludopedia.com.br/jogo/3-ring-circus,3-ring-circus
Café,7.7,7.94,365,https://ludopedia.com.br/jogo/cafe,cafe
John Company: Segunda Edição,7.7,8.45,114,https://ludopedia.com.br/jogo/john-company-second-edition,john-company-second-edition
Parade,7.7,7.83,671,https://ludopedia.com.br/jogo/parade,parade
Fotossíntese,7.7,7.8,890,https://ludopedia.com.br/jogo/photosynthesis,photosynthesis
Tulip Bubble,7.7,8.07,229,https://ludopedia.com.br/jogo/tulip-bubble,tulip-bubble
Sheriff of Nottingham,7.7,7.77,1178,https://ludopedia.com.br/jogo/sheriff-of-nottingham,sheriff-of-nottingham
Karuba,7.7,7.84,627,https://ludopedia.com.br/jogo/karuba,karuba
Sintonia,7.7,7.85,586,https://ludopedia.com.br/jogo/wavelength,wavelength
The Vale of Eternity,7.7,8.07,229,https://ludopedia.com.br/jogo/the-vale-of-eternity,the-vale-of-eternity
Magic Maze,7.7,7.78,1037,https://ludopedia.com.br/jogo/magic-maze,magic-maze
Tiny Epic Zombies,7.7,7.93,378,https://ludopedia.com.br/jogo/tiny-epic-zombies,tiny-epic-zombies
Blood on the Clocktower,7.7,8.82,76,https://ludopedia.com.br/jogo/blood-on-the-clocktower,blood-on-the-clocktower
Hellapagos: Big Box,7.7,8.1,212,https://ludopedia.com.br/jogo/hellapagos-big-box,hellapagos-big-box
Ticket to Ride: San Francisco,7.7,8.27,148,https://ludopedia.com.br/jogo/ticket-to-ride-san-francisco,ticket-to-ride-san-francisco
Lords of Ragnarok,7.7,8.5,106,https://ludopedia.com.br/jogo/lords-of-ragnarok,lords-of-ragnarok
Caverna: Cave vs Cave,7.7,7.88,448,https://ludopedia.com.br/jogo/caverna-cave-vs-cave,caverna-cave-vs-cave
Return to Dark Tower,7.7,8.86,73,https://ludopedia.com.br/jogo/return-to-dark-tower,return-to-dark-tower
Taco Gato Cabra Queijo Pizza,7.69,7.73,2506,https://ludopedia.com.br/jogo/taco-cat-goat-cheese-pizza,taco-cat-goat-cheese-pizza
Foundations of Rome,7.69,8.73,82,https://ludopedia.com.br/jogo/foundations-of-rome,foundations-of-rome
Chronicles of Drunagor: Age of Darkness,7.69,9.53,46,https://ludopedia.com.br/jogo/chronicles-of-drunagor-age-of-darkness,chronicles-of-drunagor-age-of-darkness
Watergate,7.69,8.09,213,https://ludopedia.com.br/jogo/watergate,watergate
Trickerion: Anniversary Edition,7.69,9.45,48,https://ludopedia.com.br/jogo/trickerion-anniversary-edition,trickerion-anniversary-edition
Sea Dragons,7.69,8.21,161,https://ludopedia.com.br/jogo/sea-dragons,sea-dragons
Nippon: Zaibatsu - Edição Imperial,7.69,9.25,54,https://ludopedia.com.br/jogo/nippon-zaibatsu-emperor-s-edition,nippon-zaibatsu-emperor-s-edition
Faraway,7.69,7.89,412,https://ludopedia.com.br/jogo/faraway,faraway
Jester,7.69,7.92,369,https://ludopedia.com.br/jogo/jester,jester
Herdeiros do Khan,7.69,7.98,287,https://ludopedia.com.br/jogo/herdeiros-do-khan,herdeiros-do-khan
Rummikub,7.69,7.77,1065,https://ludopedia.com.br/jogo/rummikub,rummikub
Destemidos: Norte da África,7.69,8.58,94,https://ludopedia.com.br/jogo/undaunted-north-africa,undaunted-north-africa
Arkham Horror (2005),7.68,7.91,369,https://ludopedia.com.br/jogo/-arkham-horror-2005,-arkham-horror-2005
Dobro: Pixar,7.68,7.92,351,https://ludopedia.com.br/jogo/dobro-pixar,dobro-pixar
Letters from Whitechapel,7.68,7.97,297,https://ludopedia.com.br/jogo/letters-from-whitechapel,letters-from-whitechapel
Sonhando com Alice,7.68,8.01,254,https://ludopedia.com.br/jogo/sonhando-com-alice,sonhando-com-alice
The 7th Continent,7.68,8.41,115,https://ludopedia.com.br/jogo/the-7th-continent,the-7th-continent
Carcassonne Big Box 7,7.68,9.13,58,https://ludopedia.com.br/jogo/carcassonne-big-box-7,carcassonne-big-box-7
Cthulhu Wars,7.68,8.36,124,https://ludopedia.com.br/jogo/cthulhu-wars,cthulhu-wars
Tribes of the Wind,7.68,8.03,243,https://ludopedia.com.br/jogo/tribes-of-the-wind,tribes-of-the-wind
Disney Villainous,7.68,8.02,250,https://ludopedia.com.br/jogo/disney-villainous,disney-villainous
Blackout: Hong Kong,7.68,7.89,406,https://ludopedia.com.br/jogo/blackout-hong-kong,blackout-hong-kong
Dobble,7.68,7.72,2260,https://ludopedia.com.br/jogo/dobble-spot-it,dobble-spot-it
Pergola,7.68,8.32,131,https://ludopedia.com.br/jogo/pergola,pergola
The Name of the Rose,7.68,8.23,152,https://ludopedia.com.br/jogo/the-name-of-the-rose,the-name-of-the-rose
Time's Up! Party,7.68,7.97,289,https://ludopedia.com.br/jogo/time-s-up-party,time-s-up-party
