recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,periodo_competencia
todas as atividades,Natal,141515,Gerente de bar,9,1973.25,1800.0,1800.0,2000.0,2032.37,44.0,True,202508-202607
todas as atividades,Palmas,141515,Gerente de bar,5,3060.0,3000.0,3000.0,3000.0,3118.72,44.0,True,202508-202607
todas as atividades,Porto Alegre,141515,Gerente de bar,69,2361.88,1930.0,2100.0,2700.0,2420.69,44.0,False,202508-202607
todas as atividades,Porto Velho,141515,Gerente de bar,7,2029.07,1730.5,1800.0,2160.75,2060.88,44.0,True,202508-202607
todas as atividades,Recife,141515,Gerente de bar,38,3338.74,2032.54,2500.0,2900.0,3429.62,44.0,False,202508-202607
todas as atividades,Rio Branco,141515,Gerente de bar,2,2332.22,2238.61,2332.22,2425.84,2375.52,44.0,True,202508-202607
todas as atividades,Rio de Janeiro,141515,Gerente de bar,344,2391.68,1900.0,2200.0,2742.7,2448.18,44.0,False,202508-202607
todas as atividades,Salvador,141515,Gerente de bar,20,3001.52,2500.0,2640.86,3525.0,3061.72,44.0,True,202508-202607
todas as atividades,São Luís,141515,Gerente de bar,8,1972.61,1740.54,1793.65,2125.0,2026.18,44.0,True,202508-202607
todas as atividades,São Paulo,141515,Gerente de bar,666,3226.15,2424.9,3000.0,3650.0,3300.71,44.0,False,202508-202607
todas as atividades,Teresina,141515,Gerente de bar,5,2027.81,1675.0,1796.05,2100.0,2086.41,44.0,True,202508-202607
todas as atividades,Vitória,141515,Gerente de bar,13,2644.05,1974.78,2500.0,2900.0,2706.39,44.0,True,202508-202607
todas as atividades,Aracaju,371410,Recreador,54,1648.97,1593.9,1621.0,1706.6,1682.09,44.0,False,202508-202607
todas as atividades,Belo Horizonte,371410,Recreador,1045,2137.28,1800.0,1958.01,2622.4,2181.77,44.0,False,202508-202607
todas as atividades,Belém,371410,Recreador,65,1706.48,1553.2,1621.0,1728.0,1752.42,44.0,False,202508-202607
todas as atividades,Boa Vista,371410,Recreador,60,1623.51,1586.31,1621.0,1621.0,1655.59,44.0,False,202508-202607
todas as atividades,Brasília,371410,Recreador,1889,1866.78,1656.0,1767.97,2001.05,1907.89,44.0,False,202508-202607
todas as atividades,Campo Grande,371410,Recreador,148,1760.76,1600.0,1691.2,1800.0,1803.48,44.0,False,202508-202607
todas as atividades,Cuiabá,371410,Recreador,136,2128.49,1633.46,1805.25,2598.53,2176.99,44.0,False,202508-202607
todas as atividades,Curitiba,371410,Recreador,141,2029.47,1828.0,1996.0,2166.0,2078.49,44.0,False,202508-202607
todas as atividades,Florianópolis,371410,Recreador,138,2249.88,2000.0,2146.0,2166.0,2308.07,44.0,False,202508-202607
todas as atividades,Fortaleza,371410,Recreador,361,1695.52,1568.09,1621.0,1674.49,1736.41,44.0,False,202508-202607
todas as atividades,Goiânia,371410,Recreador,436,1755.98,1635.87,1682.42,1760.0,1796.27,44.0,False,202508-202607
todas as atividades,João Pessoa,371410,Recreador,137,1763.19,1621.0,1700.0,1722.3,1794.63,44.0,False,202508-202607
todas as atividades,Macapá,371410,Recreador,5,1621.0,1621.0,1621.0,1621.0,1651.29,44.0,True,202508-202607
todas as atividades,Maceió,371410,Recreador,139,1736.58,1621.0,1695.0,1842.22,1781.08,44.0,False,202508-202607
todas as atividades,Manaus,371410,Recreador,158,1643.7,1621.0,1621.0,1621.0,1668.58,40.0,False,202508-202607
todas as atividades,Natal,371410,Recreador,206,1657.28,1590.0,1621.0,1691.44,1696.37,44.0,False,202508-202607
todas as atividades,Palmas,371410,Recreador,62,1741.3,1600.0,1700.0,1786.58,1780.52,44.0,False,202508-202607
todas as atividades,Porto Alegre,371410,Recreador,274,2186.55,1837.83,1949.0,2304.0,2239.67,44.0,False,202508-202607
todas as atividades,Porto Velho,371410,Recreador,35,1648.99,1598.0,1621.0,1706.5,1689.44,44.0,False,202508-202607
todas as atividades,Recife,371410,Recreador,150,1695.18,1651.8,1700.0,1724.89,1731.29,44.0,False,202508-202607
todas as atividades,Rio Branco,371410,Recreador,27,1615.72,1518.0,1598.0,1706.5,1655.19,44.0,True,202508-202607
todas as atividades,Rio de Janeiro,371410,Recreador,809,1764.7,1621.0,1690.5,1800.0,1802.15,44.0,False,202508-202607
todas as atividades,Salvador,371410,Recreador,84,1780.54,1621.0,1653.75,1722.04,1824.27,44.0,False,202508-202607
todas as atividades,São Luís,371410,Recreador,67,1694.64,1647.06,1665.59,1787.3,1731.76,44.0,False,202508-202607
todas as atividades,São Paulo,371410,Recreador,1502,2079.93,1826.59,2000.0,2209.14,2127.72,44.0,False,202508-202607
todas as atividades,Teresina,371410,Recreador,90,1638.29,1568.0,1600.0,1675.0,1679.95,44.0,False,202508-202607
todas as atividades,Vitória,371410,Recreador,52,1685.99,1642.75,1702.05,1705.0,1713.57,44.0,False,202508-202607
