tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,valor_original,valor
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202404,Total,3240,3240.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202501,Total,3237,3237.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202502,Total,3320,3320.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202503,Total,3404,3404.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202504,Total,3731,3731.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202601,Total,3763,3763.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1600303,Macapá (AP),202602,Total,3320,3320.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202403,Total,2997,2997.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202404,Total,3084,3084.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202501,Total,3070,3070.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202502,Total,2922,2922.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202503,Total,3137,3137.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202504,Total,3282,3282.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202601,Total,3317,3317.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1302603,Manaus (AM),202602,Total,3232,3232.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202403,Total,2927,2927.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202404,Total,3011,3011.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202501,Total,3148,3148.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202502,Total,3192,3192.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202503,Total,3338,3338.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202504,Total,3153,3153.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202601,Total,3523,3523.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2927408,Salvador (BA),202602,Total,3417,3417.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202403,Total,3359,3359.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202404,Total,3314,3314.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202501,Total,3443,3443.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202502,Total,3358,3358.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202503,Total,3466,3466.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202504,Total,3480,3480.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202601,Total,3586,3586.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2304400,Fortaleza (CE),202602,Total,3887,3887.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202403,Total,5679,5679.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202404,Total,5602,5602.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202501,Total,5680,5680.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202502,Total,5974,5974.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202503,Total,6176,6176.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202504,Total,6231,6231.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202601,Total,6563,6563.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5300108,Brasília (DF),202602,Total,6007,6007.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202403,Total,6503,6503.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202404,Total,6654,6654.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202501,Total,6786,6786.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202502,Total,6820,6820.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202503,Total,5377,5377.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202504,Total,5695,5695.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202601,Total,5727,5727.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3205309,Vitória (ES),202602,Total,5982,5982.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202403,Total,4560,4560.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202404,Total,4600,4600.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202501,Total,4522,4522.0
