tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Forma de declaração da idade,Idade,valor_original,valor
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,5 a 9 anos,169175,169175.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,5 a 9 anos,141324,141324.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,5 a 9 anos,155660,155660.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,5 a 9 anos,184611,184611.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,5 a 9 anos,18419,18419.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,5 a 9 anos,89501,89501.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,5 a 9 anos,68279,68279.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,5 a 9 anos,46681,46681.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,5 a 9 anos,63928,63928.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,5 a 9 anos,124644,124644.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,5 a 9 anos,80003,80003.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,5 a 9 anos,55538,55538.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,5 a 9 anos,100444,100444.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,5 a 9 anos,93275,93275.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,5 a 9 anos,57613,57613.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,5 a 9 anos,367196,367196.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,5 a 9 anos,46579,46579.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,5 a 9 anos,76417,76417.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,5 a 9 anos,36013,36013.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,5 a 9 anos,37033,37033.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,5 a 9 anos,29092,29092.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,5 a 9 anos,682444,682444.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,5 a 9 anos,37963,37963.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,5 a 9 anos,22977,22977.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,10 a 14 anos,28831,28831.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,10 a 14 anos,65327,65327.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,10 a 14 anos,37375,37375.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,10 a 14 anos,162708,162708.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,10 a 14 anos,141898,141898.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,10 a 14 anos,154376,154376.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,10 a 14 anos,182774,182774.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,10 a 14 anos,17857,17857.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,10 a 14 anos,85964,85964.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,10 a 14 anos,70132,70132.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,10 a 14 anos,44306,44306.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,10 a 14 anos,61139,61139.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,10 a 14 anos,122943,122943.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,10 a 14 anos,84509,84509.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,10 a 14 anos,54520,54520.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,10 a 14 anos,101958,101958.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,10 a 14 anos,89504,89504.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,10 a 14 anos,57785,57785.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,10 a 14 anos,354457,354457.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,10 a 14 anos,46549,46549.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,10 a 14 anos,72898,72898.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,10 a 14 anos,35383,35383.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,10 a 14 anos,34279,34279.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,10 a 14 anos,27856,27856.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,10 a 14 anos,670931,670931.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,10 a 14 anos,39332,39332.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,10 a 14 anos,22639,22639.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,15 a 19 anos,30991,30991.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,15 a 19 anos,69989,69989.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,15 a 19 anos,39023,39023.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,15 a 19 anos,170508,170508.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,15 a 19 anos,150329,150329.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,15 a 19 anos,165546,165546.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,15 a 19 anos,208546,208546.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,15 a 19 anos,18615,18615.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,15 a 19 anos,94233,94233.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,15 a 19 anos,76265,76265.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,15 a 19 anos,45271,45271.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,15 a 19 anos,60791,60791.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,15 a 19 anos,134631,134631.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,15 a 19 anos,93564,93564.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,15 a 19 anos,56477,56477.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,15 a 19 anos,106401,106401.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,15 a 19 anos,95331,95331.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,15 a 19 anos,62380,62380.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,15 a 19 anos,371931,371931.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,15 a 19 anos,49620,49620.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,15 a 19 anos,75603,75603.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,15 a 19 anos,35762,35762.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,15 a 19 anos,35300,35300.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,15 a 19 anos,29070,29070.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,15 a 19 anos,720787,720787.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,15 a 19 anos,41048,41048.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,15 a 19 anos,24274,24274.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,20 a 24 anos,33091,33091.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,20 a 24 anos,79597,79597.0
