tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,28,Sergipe,2025,1678,1678.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2023,1272,1272.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2024,1379,1379.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2025,1498,1498.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2023,2008,2008.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2024,2079,2079.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2025,2259,2259.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2023,2014,2014.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2024,2166,2166.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2025,2229,2229.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2023,2433,2433.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2024,2496,2496.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2025,2711,2711.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2023,2715,2715.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2024,2847,2847.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2025,2917,2917.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2023,2220,2220.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2024,2468,2468.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2025,2710,2710.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,42,Santa Catarina,2023,2480,2480.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,42,Santa Catarina,2024,2658,2658.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,42,Santa Catarina,2025,2807,2807.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,43,Rio Grande do Sul,2023,2531,2531.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,43,Rio Grande do Sul,2024,2701,2701.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,43,Rio Grande do Sul,2025,2782,2782.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,50,Mato Grosso do Sul,2023,2274,2274.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,50,Mato Grosso do Sul,2024,2246,2246.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,50,Mato Grosso do Sul,2025,2304,2304.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,51,Mato Grosso,2023,2200,2200.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,51,Mato Grosso,2024,2354,2354.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,51,Mato Grosso,2025,2381,2381.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,52,Goiás,2023,2156,2156.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,52,Goiás,2024,2215,2215.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,52,Goiás,2025,2378,2378.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,53,Distrito Federal,2023,3597,3597.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,53,Distrito Federal,2024,3694,3694.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,53,Distrito Federal,2025,4286,4286.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1301,Manaus - AM,2023,1494,1494.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1301,Manaus - AM,2024,1585,1585.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1301,Manaus - AM,2025,1639,1639.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1501,Belém - PA,2023,2053,2053.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1501,Belém - PA,2024,2004,2004.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1501,Belém - PA,2025,1979,1979.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1601,Macapá - AP,2023,1696,1696.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1601,Macapá - AP,2024,1686,1686.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,1601,Macapá - AP,2025,1949,1949.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2101,Grande São Luís - MA,2023,1291,1291.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2101,Grande São Luís - MA,2024,1593,1593.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2101,Grande São Luís - MA,2025,1609,1609.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2301,Fortaleza - CE,2023,1648,1648.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2301,Fortaleza - CE,2024,1641,1641.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2301,Fortaleza - CE,2025,1844,1844.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2401,Natal - RN,2023,1988,1988.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2401,Natal - RN,2024,1988,1988.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2401,Natal - RN,2025,2356,2356.0
