anexo,faixa,rotulo_faixa,tributo,percentual,valor_original
III,4,4 a Faixa,CSLL,3.5,"3,50%"
III,4,4 a Faixa,Cofins,13.64,"13,64%"
III,4,4 a Faixa,PIS/Pasep,2.96,"2,96%"
III,4,4 a Faixa,CPP,43.4,"43,40%"
III,4,4 a Faixa,ISS (*),32.5,"32,50%"
III,5,5 a Faixa,IRPJ,4.0,"4,00%"
III,5,5 a Faixa,CSLL,3.5,"3,50%"
III,5,5 a Faixa,Cofins,12.82,"12,82%"
III,5,5 a Faixa,PIS/Pasep,2.78,"2,78%"
III,5,5 a Faixa,CPP,43.4,"43,40%"
III,5,5 a Faixa,ISS (*),33.5,"33,50% (*)"
III,6,6 a Faixa,IRPJ,35.0,"35,00%"
III,6,6 a Faixa,CSLL,15.0,"15,00%"
III,6,6 a Faixa,Cofins,16.03,"16,03%"
III,6,6 a Faixa,PIS/Pasep,3.47,"3,47%"
III,6,6 a Faixa,CPP,30.5,"30,50%"
III,6,6 a Faixa,ISS (*),,–
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",IRPJ,6.02,"(Alíquota efetiva – 5%) x 6,02%"
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",CSLL,5.26,"(Alíquota efetiva – 5%) x 5,26%"
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",Cofins,19.28,"(Alíquota efetiva – 5%) x 19,28%"
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",PIS/Pasep,4.18,"(Alíquota efetiva – 5%) x 4,18%"
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",CPP,65.26,"(Alíquota efetiva – 5%) x 65,26%"
III,5,"5 a Faixa, com alíquota efetiva superior a 14,92537%",ISS (*),,Percentual de ISS fixo em 5%
IV,1,1 a Faixa,IRPJ,18.8,"18,80%"
IV,1,1 a Faixa,CSLL,15.2,"15,20%"
IV,1,1 a Faixa,Cofins,17.67,"17,67%"
IV,1,1 a Faixa,PIS/Pasep,3.83,"3,83%"
IV,1,1 a Faixa,ISS (*),44.5,"44,50%"
IV,2,2 a Faixa,IRPJ,19.8,"19,80%"
IV,2,2 a Faixa,CSLL,15.2,"15,20%"
IV,2,2 a Faixa,Cofins,20.55,"20,55%"
IV,2,2 a Faixa,PIS/Pasep,4.45,"4,45%"
IV,2,2 a Faixa,ISS (*),40.0,"40,00%"
IV,3,3 a Faixa,IRPJ,20.8,"20,80%"
IV,3,3 a Faixa,CSLL,15.2,"15,20%"
IV,3,3 a Faixa,Cofins,19.73,"19,73%"
IV,3,3 a Faixa,PIS/Pasep,4.27,"4,27%"
IV,3,3 a Faixa,ISS (*),40.0,"40,00%"
IV,4,4 a Faixa,IRPJ,17.8,"17,80%"
IV,4,4 a Faixa,CSLL,19.2,"19,20%"
IV,4,4 a Faixa,Cofins,18.9,"18,90%"
IV,4,4 a Faixa,PIS/Pasep,4.1,"4,10%"
IV,4,4 a Faixa,ISS (*),40.0,"40,00%"
IV,5,5 a Faixa,IRPJ,18.8,"18,80%"
IV,5,5 a Faixa,CSLL,19.2,"19,20%"
IV,5,5 a Faixa,Cofins,18.08,"18,08%"
IV,5,5 a Faixa,PIS/Pasep,3.92,"3,92%"
