tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202503,Índice geral,0.27,0.27
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202504,Índice geral,0.55,0.55
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202505,Índice geral,0.00,0.0
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202506,Índice geral,0.64,0.64
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202507,Índice geral,-0.15,-0.15
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202508,Índice geral,-0.08,-0.08
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202509,Índice geral,0.46,0.46
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202510,Índice geral,0.10,0.1
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202511,Índice geral,0.15,0.15
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202512,Índice geral,0.59,0.59
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202601,Índice geral,0.81,0.81
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202602,Índice geral,0.07,0.07
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202603,Índice geral,0.37,0.37
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202604,Índice geral,0.56,0.56
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202605,Índice geral,0.52,0.52
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202606,Índice geral,0.29,0.29
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202607,Índice geral,0.32,0.32
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202608,Índice geral,-0.17,-0.17
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202309,Índice geral,0.50,0.5
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202310,Índice geral,-0.23,-0.23
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202311,Índice geral,-0.39,-0.39
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202312,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202401,Índice geral,1.06,1.06
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202402,Índice geral,1.06,1.06
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202403,Índice geral,0.81,0.81
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202404,Índice geral,0.46,0.46
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202405,Índice geral,0.63,0.63
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202406,Índice geral,0.11,0.11
