place_id,nome,endereco,capital_busca,termo_busca
ChIJw-doo6hHAQcRoGALoSReksg,Distrito Sport Bar,"R. Lourival de Águiar Pessoa, 393 - B - Serraria, Maceió - AL, 57046-770, Brasil",Maceió,ludobar
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,luderia
ChIJL48M4dNFAQcRst9EFDPtboU,Terra Média Geek Store,"R. Clementino do Monte, 58 - Farol, Maceió - AL, 57055-612, Brasil",Maceió,luderia
ChIJe0C4Xy5HAQcRytrRQJpZuEg,Play Games / Maceió-AL,"Av. Comendador Gustavo Paiva, 5945 - Loja 3031 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,luderia
ChIJoXOYsrxFAQcR_AYapa5hV8k,BrinqueLazer,"Av. Dr. Júlio Marques Luz, 1657 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,luderia
ChIJs880fdVFAQcRDJ85vbEBgSg,Parque Shopping Maceió,"Av. Comendador Gustavo Paiva, 5945 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,luderia
ChIJQ1Dw__NIAQcRNXJJQxaP7EM,Mundo do Real,"Av. Maceió, 876 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,luderia
ChIJKR4CBMVJAQcRCWkNZFf5weI,Arcade XP AL,"Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900, Brasil",Maceió,luderia
ChIJq5XJzgk3AQcR3Aumtapg7C8,Ludoteco,"Av. Frei Damião de Bozano, 310 - Cidade Universitária, Maceió - AL, 57073-610, Brasil",Maceió,ludoteca
ChIJe0EtdLFFAQcRuWhZCvcN_kk,Fantástica Fábrica de Diversão - Salão de Festa e Brinquedoteca,"Lot. Pratagy - Av. Empresário Carlos da Silva Nogueira, 648 A - quadra d 16 - Jatiúca, Maceió - AL, 57036-540, Brasil",Maceió,ludoteca
ChIJzy7aZ3pFAQcRPpJiEcMgEGM,Casa Kids Brinquedoteca,"Rua Paulina Maria de Mendonça, nº 303 - Mangabeiras, Maceió - AL, 57035-557, Brasil",Maceió,ludoteca
ChIJe0C4Xy5HAQcRytrRQJpZuEg,Play Games / Maceió-AL,"Av. Comendador Gustavo Paiva, 5945 - Loja 3031 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,ludoteca
ChIJoXOYsrxFAQcR_AYapa5hV8k,BrinqueLazer,"Av. Dr. Júlio Marques Luz, 1657 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,ludoteca
ChIJEfaZjehHAQcR2k1ZOn1NkyM,Brincadeira de criança - Aluguel de brinquedos,"R. Olavo Bilac - São Jorge, Maceió - AL, 57025-650, Brasil",Maceió,ludoteca
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,ludoteca
ChIJpcKKOGxFAQcRVh3q4zQHX2U,Parquinho - O Mundo de João e Maria,"Vizinho à praça de alimentação - Av. Comendador Gustavo Paiva, 5945 - Lj 3053, 3° piso - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,ludoteca
ChIJG9OXnepFAQcRrkVLt1ivtFE,Brinquedolandia,"Av. Silvio Carlos Viana, 634 - Ponta Verde, Maceió - AL, 57035-160, Brasil",Maceió,ludoteca
ChIJnzobOaVFAQcRthw3Am75yMo,KidsZone Maceio,"R. Comerc. José Pontes de Magalhães, 63 - Jatiúca, Maceió - AL, 57036-250, Brasil",Maceió,ludoteca
ChIJU-tU3o5FAQcRJiJmUu_0Uas,NLV Variedades,"Av. Rui Barbosa, número 34 - Cruz das Almas, Maceió - AL, 57038-166, Brasil",Maceió,ludoteca
ChIJA7N9Wc5FAQcRVkg5NfmQvwE,Game Station - Maceió Shopping,"Shopping Maceió - Av. Comendador Gustavo Paiva, 2990 - 2º Piso, Loja 277 - Mangabeiras, Maceió - AL, 57031-530, Brasil",Maceió,ludoteca
ChIJFwbfbrdFAQcRpl7Uf70zEK8,Multibrinque Maceió - Aluguel de Brinquedos e Acessórios para o dia a dia,"R. Antônia Alves Carvalho Leite, 1118 A - Jatiúca, Maceió - AL, 57036-040, Brasil",Maceió,ludoteca
